ID	DOCULECT	CONCEPT	GERMAN	CONCEPTICON	CONCEPTICON_GLOSS	IDS	VALUE	FORM	TOKENS	ORIGIN	SOURCE	SOURCE_FORM	MORPHEMES	COGIDS	NOTE	ROOTIDS
27	German	rough (of sea)	rauh (bewegt, vom Meer)	259	ROUGH (OF SEA)	1-323	bewegt	bewegt	b ə + v eː k/g + t				_-:prefix/be way _-:pt.pf/t	140 1189 736		0
28	German	rough (of sea)	rauh (bewegt, vom Meer)	259	ROUGH (OF SEA)	1-323	rauh	rauh	r au	Stammwort			rough	205		0
29	German	foam	der Schaum	1768	FOAM	1-324	der Schaum	schaum	ʃ au m	Stammwort			foam	1021		0
30	German	ocean	der Ozean	645	OCEAN	1-329	das Weltmeer	weltmeer	v ɛ l t + m eː r				world ocean	1183 1184	old	0
31	German	ocean	der Ozean	645	OCEAN	1-329	der Ozean	ozean	oː ts eː aː n	Entlehnung			?	0		0
32	German	lake	der See	624	LAKE	1-330	der See	see	z eː	Stammwort			lake/See	252		0
33	German	gulf, bay	der Meerbusen	663	BAY	1-340	der Meerbusen	meerbusen	m eː r + b uː z + ə n	Stammwort			ocean bosom _-:suffix.m.s/en	0 877 922	rare	0
34	German	gulf, bay	der Golf	663	BAY	1-340	der Golf	golf	g o l f				*gulf	1160	specific	0
35	German	gulf, bay	der Bai	663	BAY	1-340	der Bai	bai	b ai	Entlehnung	nndl	baai	!bay	844	rare	0
36	German	gulf, bay	die Bucht	663	BAY	1-340	die Bucht	bucht	b ʊ x t	Stammwort			bay	881		0
37	German	lagoon	die Lagune	623	LAGOON	1-341	die Lagune	lagune	l a g uː n ə	Entlehnung	it	laguna	lagoon	0		0
38	German	reef	das Riff	660	REEF	1-342	das Riff	riff	r ɪ f	Stammwort			riff	915		0
39	German	headland, point	die Landzunge	1662	CAPE	1-343		landzunge	l a n t/d + ts ʊ ŋ + ə				land tongue _-:suffix.f.s/e	0 199 91		0
40	German	wave	die Welle	978	WAVE	1-350	die Welle	welle	v ɛ l + ə	Stammwort			wave _-:suffix.f.s/e	643 91		0
41	German	wave	die Welle	978	WAVE	1-350	die Woge	woge	v oː g + ə	Stammwort			wave _-:suffix.f.s/e	642 91	rare	0
42	German	tide	die Gezeiten	891	TIDE	1-352	Gezeiten	gezeiten	g ə + ts ai t + ə n	Stammwort			_-:prefix/ge time _-:inf	139 559 2		0
43	German	tide	die Gezeiten	891	TIDE	1-352	Ebbe und Flut	ebbe und flut	ɛ b + ə + ʊ n t/d + f l uː t	S S			low_tide _-:suffix.f.s/e and high-tide	557 91 966 555		0
44	German	lowtide	die Ebbe	1026	LOW TIDE	1-353	Ebbe	ebbe	ɛ b + ə	Stammwort			low_tide _-:suffix.f.s/e	0 91		0
45	German	hightide	die Flut	613	HIGH TIDE	1-354	die Flut	flut	f l uː t	Stammwort			high-tide	555		0
46	German	river, stream, brook	der Fluss		!RIVER	1-360	der Fluss	fluss	f l ʊ s				river	556		0
47	German	river, stream, brook	der Strom		!STREAM	1-360	Strom	strom	ʃ t r oː m	Stammwort			stream	1054		0
48	German	river, stream, brook	der Bach		!BROOK	1-360	Bach	bach	b a x	Stammwort			brook	835		0
49	German	whirlpool	der Wirbel (im Wasser)	1982	WHIRLPOOL	1-362	Strudel	strudel	ʃ t r uː d ə l	Stammwort			whirl	669		0
50	German	whirlpool	der Wirbel (im Wasser)	1982	WHIRLPOOL	1-362	Wirbel	wirbel	v ɪ r b ə l	Stammwort			whirl	410		0
51	German	spring, well	die Quelle		!SPRING	1-370	die Quelle	quelle	k v ɛ l + ə				spring _-:suffix.f.s/e	424 91		0
52	German	spring, well	der Brunnen		!WELL	1-370	der Brunnen	brunnen	b r ʊ n + ə n	Stammwort			well _-:suffix.m.s/en	427 922		0
53	German	swamp	der Sumpf	1145	SWAMP	1-380	der Sumpf	sumpf	z ʊ m pf	Stammwort			swamp	480		0
54	German	swamp	der Sumpf	1145	SWAMP	1-380	der Morast	morast	m oː r + a s t	Entlehnung	mndl	maras	swamp/Moor /ast	478 925	rare	0
55	German	waterfall	der Wasserfall	943	WATERFALL	1-390	der Wasserfall	wasserfall	v a s ə r + f a l				water fall	644 579		0
56	German	woods, forest	der WAld	420	FOREST	1-410	der Wald	wald	v a l t/d	Stammwort			forest	37		0
57	German	tree (cf 08.600)	der Baum (siehe 8-600)	906	TREE	1-420	der Baum	baum	b au m	Nicht etymologisierbar			tree	125		0
58	German	wood	das Holz	1803	WOOD	1-430	das Holz	holz	h ɔ l ts	Stammwort			wood	278		0
59	German	stone, rock	der Stein		!STONE	1-440	der Stein	stein	ʃ t ai n	Stammwort			stone	248		0
60	German	stone, rock	der Felsen		ROCK	1-440	der Felsen	felsen	f ɛ l s + ə n	Stammwort			rock _-:suffix.m.s/en	449 922		0
61	German	earthquake	das Erdbeben	6	EARTHQUAKE	1-450	das Erdbeben	erdbeben	eː r t/d + b eː b + ə n				earth earthquake _-:inf	952 846 2		0
62	German	sky	der Himmel	1732	SKY	1-510	der Himmel	himmel	h ɪ m ə l	Stammwort			sky	354		0
63	German	sun	die Sonne	1343	SUN	1-520	die Sonne	sonne	z ɔ n + ə	Stammwort			sun _-:suffix.f.s/e	469 91		0
64	German	moon	der Mond	1313	MOON	1-530	Mond	mond	m oː n t/d	Stammwort			moon	164		0
65	German	star	der Stern	1430	STAR	1-540	der Stern	stern	ʃ t ɛ r n				star	437		0
66	German	lightning	das Blitzen	1654	LIGHTNING	1-550	das Blitzen	blitzen	b l ɪ ts + ə n				bolt _-:suffix.n.s/en	19 1214		0
67	German	thunder	der Donner	1150	THUNDER	1-560	Donner	donner	d ɔ n ə r	Stammwort			thunder	560		0
68	German	lightning (as striking)	der Blitz	2007	BOLT (OF LIGHTNING)	1-570	der Blitz	blitz	b l ɪ ts				bolt	19		0
69	German	lightning (as striking)	der Blitz	2007	BOLT (OF LIGHTNING)	1-570	der Donnerkeil	donnerkeil	d ɔ n ə r + k ai l	Stammwort			thunder wedge	560 1132	old	0
70	German	storm	der Sturm	858	STORM	1-580	der Sturm	sturm	ʃ t ʊ r m	Stammwort			storm	457		0
71	German	rainbow	der Regenbogen	1733	RAINBOW	1-590	Regenbogen	regenbogen	r eː g ə n + b oː g + ə n	Stammwort			rain bow _-:suffix.m.s/en	190 11 922		0
72	German	light (noun)	das Licht	630	LIGHT (RADIATION)	1-610	das Licht	licht	l ɪ ç t	Stammwort			light	0		0
73	German	light (noun)	das Licht	630	!LIGHT (RADIATION)	1-610	die Beleuchtung	beleuchtung	b ə + l ɔi/ɪ ç t + ʊ ŋ				_-:prefix/be light _-:suffix/ung	140 ? 58	specific	0
74	German	darkness	die Dunkelheit	11	DARKNESS	1-620	die Finsternis	finsternis	f ɪ n s t ə r + n ɪ s				dark _-:suffix/nis	70 71		0
75	German	darkness	die Dunkelheit	11	DARKNESS	1-620	die Dunkelheit	dunkelheit	d ʊ ŋ k ə l + h ai t				dark -ness/heit	68 335		0
76	German	shade, shadow	der Schatten	1388	SHADE	1-630	Schatten	schatten	ʃ a t + ə n	Stammwort			shade _-:suffix.m.s/en	273 922		0
77	German	dew	der Tau	1977	DEW	1-640	der Tau	tau	t au				dew	743		0
78	German	air	die Luft	27	AIR	1-710	die Luft	luft	l ʊ f t	Stammwort			air	537		0
79	German	wind	der Wind	960	WIND	1-720	der Wind	wind	v ɪ n t/d	Stammwort			wind	678		0
80	German	cloud	die Wolke	1489	CLOUD	1-730	die Wolke	wolke	v ɔ l . k + ə	Stammwort			cloud _-:suffix.f.s/e	1202 91		0
81	German	fog	der Nebel	249	FOG	1-740	Nebel	nebel	n eː b ə l	Stammwort			fog	0		0
82	German	rain (noun)	der Regen	658	RAIN (PRECIPITATION)	1-750	der Regen	regen	r eː g ə n	Stammwort			rain	190		0
83	German	snow (noun)	der Schnee	784	SNOW	1-760	der Schnee	schnee	ʃ n eː	Stammwort			snow	375		0
84	German	ice	das Eis	617	ICE	1-770	Eis	eis	ai s	Stammwort			ice	941		0
85	German	weather	das Wetter	952	WEATHER	1-780	das Wetter	wetter	v ɛ t ə r	Stammwort			weather	652		0
86	German	fire	das Feuer	221	FIRE	1-810	das Feuer	feuer	f ɔi ə r	Stammwort			fire	97		0
87	German	flame (noun)	die Flamme	889	FLAME	1-820	die Flamme	flamme	f l a m + ə	Entlehnung			flame _-:suffix.f.s/e	986 91		0
88	German	smoke (noun)	der Rauch	778	SMOKE (EXHAUST)	1-830	der Rauch	rauch	r au x	Stammwort			smoke	367		0
89	German	ashes	Asche	646	ASH	1-840	die Asche	asche	a ʃ ə	Stammwort			ash	933		0
90	German	embers	die Glut	67	EMBERS	1-841	die Glut	glut	g l uː t				embers	1162		0
91	German	embers	glühend	67	!EMBERS	1-841	glühend	glühend	g l yː + ə n + d/t				glow _-:inf _-:pt.pr/d	475 2 1174		0
92	German	burn (vb trans)	verbrennen	141	BURN (SOMETHING)	1-851	brennen	brennen	f ɛ r + b r ɛ n + ə n	Stammwort			_-:prefix/ver burn:V _-:inf	138 821 2		0
93	German	burn (vb intrans)	brennen	1428	BURNING	1-852	brennen	brennen	b r ɛ n + ə n	Stammwort			burn:V _-:inf	821 2		0
94	German	light, kindle, ignite	anzünden	737	LIGHT (IGNITE)	1-860	anzünden	anzünden	a n + ts y n d + ə n				_-on:prefix/an ignite _-:inf	142 740 2		0
95	German	light, kindle, ignite	anzünden	737	LIGHT (IGNITE)	1-860	anstecken	anstecken	a n + ʃ t ɛ k + ə n				_-on:prefix/an stick _-:inf	142 428 2		0
96	German	extinguish	auslöschen	127	EXTINGUISH	1-861	auslöschen	auslöschen	au s + l œ ʃ + ə n				_-out:prefix/aus ? _-:inf	148 0 2		0
97	German	match (noun)	das Streichholz	1133	MATCH	1-870	das Streichholz	streichholz	ʃ t r ai ç + h ɔ l ts				strike wood	178 278		0
98	German	match (noun)	das Streichholz	1133	MATCH	1-870	das Zündholz	zündholz	ts y n t/d + h ɔ l ts				ignite wood	740 278		0
99	German	firewood	das Brennholz	10	FIREWOOD	1-880	das Brennholz	brennholz	b r ɛ n + h ɔ l ts				burn:V wood	821 278		0
100	German	charcoal	die Holzkohle	1188	CHARCOAL	1-890	die Holzkohle	holzkohle	h ɔ l ts + k oː l + ə				wood coal _-:suffix.f.s/e	278 0 91		0
101	German	person, human being	die Person	683	PERSON	2-100	der Mensch	mensch	m ɛ n ʃ	Stammwort			human_being	0		0
102	German	man (vs. woman)	der Mann	1554	MAN	2-210	der Mann	mann	m a n	Stammwort			man	161		0
103	German	woman	die Frau	962	WOMAN	2-220	Frau	frau	f r au	Stammwort			woman	680		0
104	German	woman	die Frau	962	WOMAN	2-220	Weib	weib	v ai p/b	Stammwort			femaile	695	old	0
105	German	male	männlich (von einer Person)	2261	MALE (OF PERSON)	2-230	männlich	männlich	m ɛ/a n + l ɪ ç				man _-:suffix/lich	160 161		0
106	German	female	weiblich	2260	!FEMALE (OF PERSON)	2-240	weiblich	weiblich	v ai p/b + l ɪ ç	female /lich			femaile _-:suffix/lich	695 161		0
107	German	boy	der Junge	1366	BOY	2-250	der Junge	junge	j ʊ ŋ + ə	Stammwort			young _-:suffix.m.s/e	0 1241		0
108	German	boy	der Junge	1366	BOY	2-250	der Knabe	knabe	k n aː b + ə	Stammwort			boy _-:suffix.m.s/e	1220 1241		0
109	German	young man (adolescent)	der Junge	76	YOUNG MAN	2-251	der Junge	junge	j ʊ ŋ + ə	Stammwort			young _-:suffix.m.s/e	721 1241		0
110	German	young man (adolescent)	der Junge	76	YOUNG MAN	2-251	der junge Mann	junger mann	j ʊ ŋ + ə r + m a n				young _-:n.m/er man	721 331 722		0
111	German	young man (adolescent)	der Junge	76	YOUNG MAN	2-251	der Jüngling	jüngling	j y/ʊ ŋ + l ɪ ŋ	Stammwort			young _-:suffix/ling	721 604	old	0
112	German	girl	das Mädchen	1646	GIRL	2-260	das Mädchen	mädchen	m ɛː t + ç ə n	Stammwort			girl _-:dim/chen	0 56		0
113	German	young woman (adolescent)	das Mädchen	77	YOUNG WOMAN	2-261	das Mädchen	mädchen	m ɛː t + ç ə n	Stammwort			girl _-:dim/chen	723 56		0
114	German	child	das Kind	1304	CHILD (YOUNG HUMAN)	2-270	das Kind	kind	k ɪ n t/d	Stammwort			child	819		0
115	German	infant, baby	das Baby	1289	BABY	2-280	der Säugling	säugling	z ɔi/au k/g + l ɪ ŋ				suck _-:suffix/ling	0 604		0
116	German	infant, baby	das Baby	1289	BABY	2-280	das Baby	baby	b eː b iː	Entlehnung	ne	baby	!baby	845		0
117	German	husband	der Ehemann	1200	HUSBAND	2-310	der Mann	mann	m a n	Stammwort			man	0		0
118	German	husband	der Ehemann	1200	HUSBAND	2-310	der Ehemann	ehemann	eː ə + m a n				marriage man	531 ?		0
119	German	husband	der Ehemann	1200	HUSBAND	2-310	der Gatte	gatte	g a t + ə	Stammwort			marriage-partner _-:suffix.m.s/e	681 1241	old	0
120	German	husband	der Ehemann	1200	HUSBAND	2-310	der Gemahl	gemahl	g ə + m aː l	Stammwort			_-:prefix/ge husband	139 12	old	0
121	German	wife	die Ehefrau	1199	WIFE	2-320	die Frau	frau	f r au	Stammwort			woman	680		0
122	German	wife	die Ehefrau	1199	WIFE	2-320	die Ehefrau	ehefrau	eː ə + f r au				marriage woman	531 680		0
123	German	wife	die Ehefrau	1199	WIFE	2-320	die Gattin	gattin	g a t + ɪ n				marriage-partner /in	681 0	rare	0
124	German	wife	die Ehefrau	1199	WIFE	2-320	die Gemahlin	gemahlin	g ə + m aː l + ɪ n				_-:prefix/ge time /in	139 30 0	rare	0
125	German	marry	heiraten	203	MARRY	2-330	heiraten	heiraten	h ai r aː t + ə n				marry _-:inf	162 2		0
126	German	marriage, wedding	die Heirat		MARRIAGE	2-340	die Heirat	heirat	h ai r aː t	Stammwort			marry	162		0
127	German	marriage, wedding	die Ehe		MARRIAGE	2-340	die Ehe	ehe	eː ə	Stammwort			marriage	531		0
128	German	marriage, wedding	die Hochzeit		WEDDING	2-340	die Hochzeit	hochzeit	h ɔ/oː x + ts ai t	Stammwort			high time	320 559		0
129	German	divorce	die Scheidung	1134	DIVORCE	2-341		ehescheidung	eː ə + ʃ ai d + ʊ ŋ				marriage separate _-:suffix/ung	531 249 58		0
130	German	divorce	die Scheidung	1134	DIVORCE	2-341		scheidung	ʃ ai d + ʊ ŋ				separate _-:suffix/ung	249 58		0
131	German	father	der Vater	1217	FATHER	2-350	der Vater	vater	f aː t ə r	Stammwort			father	5		0
132	German	mother	die Mutter	1216	MOTHER	2-360	die Mutter	mutter	m ʊ t ə r	Stammwort			mother	698		0
133	German	parents	die Eltern	505	PARENTS	2-370	Eltern	eltern	ɛ/a l t + ə r + Ø/ə n	Stammwort			old _-:comp/er _-:suffix.f.pl/en	173 175 17		0
134	German	married man	der verheiratete Mann	424	MARRIED MAN	2-380	der verheiratete Mann	verheirateter mann	f ɛ r + h ai r aː t + ə t + ə r + m a n				_-:prefix/ver marry _-:pt.pf/et _-:suffix/er man	138 162 0 100 0		0
135	German	married woman	die verheiratete Frau	426	MARRIED WOMAN	2-390	die verheiratete Frau	verheiratete frau	f ɛ r + h ai r aː t + ə t + ə + f r au				_-:prefix/ver marry _-:pt.pf/et _-:decl.f.s/e woman	138 162 0 1237 680		0
136	German	son	der Sohn	1620	SON	2-410	der Sohn	sohn	z oː n	Stammwort			son	23		0
137	German	daughter	die Tochter	1357	DAUGHTER	2-420	die Tochter	tochter	t ɔ x t ə r	Stammwort			daughter	18		0
138	German	offspring (son or daughter)	das Kind (Sohn oder Tochter)	1801	CHILD (DESCENDANT)	2-430	das Kind	kind	k ɪ n t/d	Stammwort			child	819		0
139	German	brother	der Bruder	1262	BROTHER	2-440	der Bruder	bruder	b r uː d ə r	Stammwort			brother	725		0
140	German	older brother	der große Bruder	1759	OLDER BROTHER	2-444		älterer bruder	ɛ/a l t + ə r + ə r + b r uː d ə r				old _-:comp/er _-:n.m/er brother	173 175 300 725		0
141	German	older brother	der große Bruder	1759	OLDER BROTHER	2-444		großer bruder	g r oː s + ə r + b r uː d ə r				big _-:n.m/er brother	6 300 725		0
142	German	younger brother	der kleine Bruder	1760	YOUNGER BROTHER	2-445	der jüngere Bruder	jüngerer bruder	j y/ʊ ŋ + ə r + ə r + b r uː d ə r				young _:comp/er _-:n.m/er brother	721 175 331 725		0
143	German	younger brother	der kleine Bruder	1760	YOUNGER BROTHER	2-445	der kleine Bruder	kleiner bruder	k l ai n + ə r + b r uː d ə r				small _-:n.m/er brother	365 331 725		0
144	German	sister	die Schwester	1263	SISTER	2-450	die Schwester	schwester	ʃ v ɛ s t ə r	Stammwort			sister	727		0
145	German	older sister	die große Schwester	1758	OLDER SISTER	2-454		ältere schwester	ɛ/a l t + ə r + ə + ʃ v ɛ s t ə r				old _-:comp/er _-:decl.f.s/e sister	173 175 105 727		0
146	German	older sister	die große Schwester	1758	OLDER SISTER	2-454		große schwester	g r oː s + ə + ʃ v ɛ s t ə r				big _-:decl.f.s/e sister	6 105 727		0
147	German	younger sister	die kleine Schwester	1761	YOUNGER SISTER	2-455	die jüngere Schwester	jüngere schwester	j y/ʊ ŋ + ə r + ə + ʃ v ɛ s t ə r				young _:comp/er _-:suffix.f.s/e sister	721 175 91 727		0
148	German	younger sister	die kleine Schwester	1761	YOUNGER SISTER	2-455	die kleine Schwester	kleine schwester	k l ai n + ə + ʃ v ɛ s t ə r				small _-:suffix.f.s/e sister	365 91 727		0
149	German	sibling	die Geschwister	1640	SIBLING	2-456	die Geschwister	geschwister	g ə + ʃ v i/ɛ s t ə r	Stammwort			_-:prefix/ge sister	139 295		0
150	German	twins	die Zwillinge	1005	TWINS	2-458		zwillinge	ts v ɪ/ai + l i ŋ + ə				two _-:suffix/ling _-:suffix.pl/e	606 604 308		zwei 0 0
151	German	grandfather	der Großvater	1383	GRANDFATHER	2-460	der Großvater	großvater	g r oː s + f aː t ə r				big father	6 5		0
152	German	old man	der alte Mann	406	OLD MAN	2-461	der alte Mann	alter	a l t + ə + m a n	Stammwort			old _-:decl.f.s/e man	173 105 0		0
153	German	old man	der alte Mann	406	OLD MAN	2-461	der Greis	greis	g r ai s	Stammwort			old_man	172		0
154	German	grandmother	die Großmutter	1496	GRANDMOTHER	2-470	die Großmutter	großmutter	g r oː s + m ʊ t ə r	Stammwort			big mother	6 698		0
155	German	old woman	die alte Frau	907	OLD WOMAN	2-471	die alte Frau	alte	a l t + ə + f r au				old _-:decl.f.s/e woman	173 105 680		0
156	German	old woman	die Greisin	907	OLD WOMAN	2-471	die Greisin	greisin	g r ai z/s + ɪ n				old_man _-:feminine/in	172 0		0
157	German	grandson	der Enkel	1618	GRANDSON	2-480	der Enkel	enkel	ɛ ŋ k ə l				grandchild	120		0
158	German	granddaughter	die Enkelin	1619	GRANDDAUGHTER	2-490	die Enkelin	enkelin	ɛ ŋ k ə l + i n				grandchild /in	120		0
159	German	uncle	der Onkel	1327	UNCLE	2-510	Onkel	onkel	ɔ ŋ k ə l	Entlehnung	frz	oncle	uncle	43		0
160	German	uncle	der Onkel	1327	UNCLE	2-510	Oheim	oheim	oː h ai m	Stammwort			uncle	607	old	0
161	German	mother's brother	der Onkel (mütterlicherseits)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	2-511	der Onkel	onkel	ɔ ŋ k ə l	Entlehnung	frz	oncle	uncle	43		0
162	German	mother's brother	der Onkel (mütterlicherseits)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	2-511	der Oheim	oheim	oː h ai m	Stammwort			?	0		0
163	German	father's brother	Onkel (väterlicherseits)	1985	PATERNAL UNCLE (FATHER'S BROTHER)	2-512	der Onkel	onkel	ɔ ŋ k ə l	Entlehnung	frz	oncle	uncle	43		0
164	German	father's brother	Onkel (väterlicherseits)	1985	PATERNAL UNCLE (FATHER'S BROTHER)	2-512	der Oheim	oheim	oː h ai m	Stammwort			?	0		0
165	German	aunt	Tante	1272	AUNT	2-520	die Tante	tante	t a n t + ə	Entlehnung	frz	tante	aunt _-:suffix.f.s/e	47 91		0
166	German	aunt	Tante	1272	AUNT	2-520	die Mume	mume	m uː m + ə				aunt _-:suffix.f.s/e	0 91		0
167	German	mother's sister	die Tante (mütterlicherseits)	2693	MATERNAL AUNT (MOTHER'S SISTER)	2-521	die Tante	tante	t a n t + ə	Entlehnung	frz	tante	aunt _-:suffix.f.s/e	47 91		0
168	German	father's sister	Tante (väterlicherseits)	2691	PATERNAL AUNT (FATHER'S SISTER)	2-522	die Tante	tante	t a n t + ə	Entlehnung	frz	tante	aunt _-:suffix.f.s/e	47 91		0
169	German	nephew	der Neffe	1063	NEPHEW	2-530	der Neffe	neffe	n ɛ f ə	Stammwort			?	0		0
170	German	niece	die Nichte	1642	NIECE	2-540	die Nichte	nichte	n ɪ ç t ə	Stammwort			?	0		0
171	German	cousin	der Cousin	1643	!COUSIN	2-550	der Vetter	vetter	f ɛ t ə r	Stammwort			cousin	977		0
172	German	cousin	die Kusine	1643	!COUSIN	2-550	die Kusine	kusine	k uː z iː n ə	Entlehnung	frz	cousine	?	0		0
173	German	cousin	die Kusine	1643	!COUSIN	2-550	die Base	base	b aː z + ə				female-cousin _-:suffix.f.s/e	841 91		0
174	German	ancestors	die Vorfahren	1669	ANCESTORS	2-560	die Ahnen	ahnen	aː n + ə n	Stammwort			ancestor _-:suffix.pl/en	549 17		0
175	German	ancestors	die Vorfahren	1669	ANCESTORS	2-560	die Vorfahren	vorfahren	f oː r + f aː r + ə n				_before drive _-:inf	402 32 2		0
176	German	ancestors	die Vorfahren	1669	ANCESTORS	2-560	die Voreltern	voreltern	f oː r + ɛ/a l t + ə r + Ø/ə n				_before old _-:suffix/er _-:plural/en	402 173 732 793		0
177	German	descendants	die Nachkommen	490	DESCENDANTS	2-570	die Abkömmlinge	abkömmlinge	a p/b + k œ m + l ɪ ŋ + e				_-off:prefix/ab come _-:suffix/ling _-:plural/e	110 146 604 308		0
178	German	descendants	die Nachkommen	490	DESCENDANTS	2-570	die Nachkommen	nachkommen	n aː x + k ɔ m + ə n				after come _-:inf	527 65 2		0
179	German	father-in-law (of a man)	der Schwiegervater	2255	FATHER-IN-LAW (OF MAN)	2-610	der Schwiegervater	schwiegervater	ʃ v iː g ə r + f aː t ə r				relative-in-law father	3 5		0
180	German	father-in-law (of a man)	der Schwiegervater (von einem Mann)	2255	FATHER-IN-LAW (OF MAN)	2-610	der Schwäher	schwäher	ʃ v ɛː ə r	Stammwort			relative-in-law	81		0
181	German	father-in-law (of a woman)	der Schwiegervater (von einer Frau)	2254	FATHER-IN-LAW (OF WOMAN)	2-611	der Schwiegervater	schwiegervater	ʃ v iː g ə r + f aː t ə r				relative-in-law father	3 5		0
182	German	mother-in-law (of a man)	die Schwiegermutter (eines Mannes)	2257	MOTHER-IN-LAW (OF MAN)	2-620	die Schwiegermutter	schwiegermutter	ʃ v iː g ə r + m ʊ t ə r				relative-in-law mother	3 698		0
183	German	mother-in-law (of a woman)	die Schwiegermutter (einer Frau)	2256	MOTHER-IN-LAW (OF WOMAN)	2-621	die Schwiegermutter	schwiegermutter	ʃ v iː g ə r + m ʊ t ə r				relative-in-law mother	3 166		0
184	German	son-in-law (of a man)	der Schwiegerson (vom Mann)	2267	SON-IN-LAW (OF MAN)	2-630	der Schwiegersohn	schwiegersohn	ʃ v iː g ə r + z oː n				relative-in-law son	3 23		0
185	German	son-in-law (of a woman)	der Schwiegerson (von der Frau)	2266	SON-IN-LAW (OF WOMAN)	2-631	der Schwiegersohn	schwiegersohn	ʃ v iː g ə r + z oː n				relative-in-law son	3 23		0
186	German	daughter-in-law (of a man)	die Schwiegertochter (eines Mannes)	2265	DAUGHTER-IN-LAW (OF MAN)	2-640	die Schwiegertochter	schwiegertochter	ʃ v iː g ə r + t ɔ x t ə r				relative-in-law daughter	3 18		0
187	German	daughter-in-law (of a woman)	die Schwiegertochter (einer Frau)	2264	DAUGHTER-IN-LAW (OF WOMAN)	2-641	die Schwiegertochter	schwiegertochter	ʃ v iː g ə r + t ɔ x t ə r				relative-in-law daughter	3 18		0
188	German	stepfather	der Stiefvater	237	STEPFATHER	2-710	der Stiefvater	stiefvater	ʃ t iː f + f aː t ə r				step father	16 5		0
189	German	stepmother	die Stiefmutter	236	STEPMOTHER	2-720	die Stiefmutter	stiefmutter	ʃ t iː f + m ʊ t ə r				step mother	16 698		0
