ID	DOCULECT	CLUSTERFORMAT	CLUSTERID	CONCEPT	IPA	METAGLOSS	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS	CONCEPTID	CONCEPT_VARIANTS	FORM_VARIANTS	HOMOPHONES	ID_BACK	CHECK	COGID
63	Achang_Longchuan	3	19	blunt	təm³⁵	blunt	t ə m ³⁵	?	?	blunt / dull	təm³⁵  | 1021.28	Achang (Longchuan) TBL	3	CVcT	t ə m ³⁵	7				92	-	137
64	Achang_Luxi	3	19	blunt	tɔp³¹	blunt	t ɔ p ³¹	?	?	blunt / dull	tɔp³¹  | 1278.28	Achang (Luxi) JZ-Achang	3	CVcT	t ɔ p ³¹	7				93	-	137
65	Atsi	3	19	blunt	tum²¹	blunt	t u m ²¹	?	?	blunt / dull	tum²¹  | 1021.30	Atsi [Zaiwa] TBL	3	CVcT	t u m ²¹	7				95	-	137
66	Bola	1 2	20	blunt	a³¹thaʔ⁵⁵	blunt	a ³¹ + tʰ a ʔ ⁵⁵	?	?	blunt / dull	a³¹ thaʔ⁵⁵  | 1021.32	Bola (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th a ʔ ⁵⁵	7				96	-	158
67	Burmese_ZMYYC	3	19	blunt	tuṁ³	blunt	t u ṁ ³	?	?	blunt / dull	tuṁ³  | 871.39	Burmese (Written) ZMYYC	3	CVcT	t u ṁ ³	7				97	-	137
68	Lashi	1 2	20	blunt	a³¹thɔʔ⁵⁵	blunt	a ³¹ + tʰ ɔ ʔ ⁵⁵	?	?	blunt / dull	a³¹ thɔʔ⁵⁵  | 1021.33	Leqi (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th ɔ ʔ ⁵⁵	7				99	-	158
69	Maru	3	19	blunt	tam³⁵	blunt	t a m ³⁵	?	?	blunt / dull	tam³⁵  | 1021.31	Langsu (Luxi) TBL	3	CVcT	t a m ³⁵	7				98	-	137
70	Xiandao	3	19	blunt	tum³¹	blunt	t u m ³¹	?	?	blunt / dull	tum³¹  | 1021.29	Achang (Xiandao) TBL	3	CVcT	t u m ³¹	7				94	-	137
71	Achang_Longchuan	0 0 1 2 0	448	boiled water	ti⁵⁵su⁵⁵	the water	t i ⁵⁵ + s u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ su⁵⁵  | 0453.28	Achang (Longchuan) TBL	1 2	CVTCVT	t i ⁵⁵ ◦ s u ⁵⁵	8				2697	-	486
72	Atsi	4 0 0 0 3	448	boiled water	vui⁵¹pu⁵¹	the water	v u i ⁵¹ + p u ⁵¹	?	?	water (boiled) n	vui⁵¹ pu⁵¹  | 0453.30	Atsi [Zaiwa] TBL	4 3	CVTCVT	v ui ⁵¹ ◦ p u ⁵¹	8				2699	-	486
73	Bola	4 5 0 0 0	448	boiled water	ɣəi⁵⁵lauŋ⁵⁵	the water	ɣ ə i ⁵⁵ + l a u ŋ ⁵⁵	?	?	water (boiled) n	ɣəi⁵⁵ lauŋ⁵⁵  | 0453.32	Bola (Luxi) TBL	4 5	CVTCVcT	ɣ əi ⁵⁵ ◦ l au ŋ ⁵⁵	8				2700	-	486
74	Lashi	4 5 0 0 0	448	boiled water	kjei³¹luŋ³¹	the water	k j e i ³¹ + l u ŋ ³¹	?	?	water (boiled) n	kjei³¹ luŋ³¹  | 0453.33	Leqi (Luxi) TBL	4 5	CCVTCVcT	k j ei ³¹ ◦ l u ŋ ³¹	8				2702	-	486
75	Maru	4 5 0 0 0	448	boiled water	ɣək³¹lauŋ³¹	the water	ɣ ə k ³¹ + l a u ŋ ³¹	?	?	water (boiled) n	ɣək³¹ lauŋ³¹  | 0453.31	Langsu (Luxi) TBL	4 5	CVcTCVcT	ɣ ə k ³¹ ◦ l au ŋ ³¹	8				2701	-	486
76	Xiandao	0 0 1 0 3	448	boiled water	ti⁵⁵pu⁵⁵	the water	t i ⁵⁵ + p u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ pu⁵⁵  | 0453.29	Achang (Xiandao) TBL	1 3	CVTCVT	t i ⁵⁵ ◦ p u ⁵⁵	8				2698	-	486
77	Achang_Longchuan	1 0 0 2	260	burn the grass	ʐa⁵⁵ŋ̊eʔ⁵⁵	the grass	ʐ a ⁵⁵ + ŋ̊ e ʔ ⁵⁵	?	?	burn the grass on wasteland v.	ʐa⁵⁵ ŋ̊eʔ⁵⁵  | 1610.28	Achang (Longchuan) TBL	1 2	CVTCVcT	ʐ a ⁵⁵ ◦ ŋ̊ e ʔ ⁵⁵	9				1521	-	228
78	Atsi	0 3 4 2	260	burn the grass	mup²¹jo⁵¹ŋje̱⁵⁵	the grass	m u p ²¹ + j o ⁵¹ + ŋ j e̱ ⁵⁵	?	?	burn the grass on wasteland v.	mup²¹ jo⁵¹ ŋje̱⁵⁵  | 1610.30	Atsi [Zaiwa] TBL	3 4 2	CVcTCVTCCVT	m u p ²¹ ◦ j o ⁵¹ ◦ ŋ j e̱ ⁵⁵	9				1523	-	228
79	Bola	0 0 0 2	260	burn the grass	ŋjɛ³⁵	the grass	ŋ j ɛ ³⁵	?	?	burn the grass on wasteland v.	ŋjɛ³⁵  | 1610.32	Bola (Luxi) TBL	2	CCVT	ŋ j ɛ ³⁵	9				1524	-	228
80	Lashi	0 0 4 2	260	burn the grass	jo³¹ŋɛː⁵³	the grass	j o ³¹ + ŋ ɛː ⁵³	?	?	burn the grass on wasteland v.	jo³¹ ŋɛː⁵³  | 1610.33	Leqi (Luxi) TBL	4 2	CVTCVT	j o ³¹ ◦ ŋ ɛː ⁵³	9				1526	-	228
81	Maru	5	261	burn the grass	mi³⁵ŋa̱⁵⁵	the grass	?	?	?	burn the grass on wasteland v.	mi³⁵ ŋa̱⁵⁵  | 1610.31	Langsu (Luxi) TBL	5	CVTCVT	m i ³⁵ ◦ ŋ a̱ ⁵⁵	9				1525	-	230
82	Xiandao	0 0 0 2	260	burn the grass	n̥ɛ³⁵	the grass	n̥ ɛ ³⁵	?	?	burn the grass on wasteland v.	n̥ɛ³⁵  | 1610.29	Achang (Xiandao) TBL	2	CVT	n̥ ɛ ³⁵	9				1522	-	228
83	Achang_Lianghe	1	22	cold	tʂhɑŋ³¹	cold	tʂʰ ɑ ŋ ³¹	?	?	cold (weather, water)	tʂhɑŋ³¹  | 1473.03	Achang (Lianghe) JZ-Achang	1	CVcT	tʂh ɑ ŋ ³¹	10				100	-	187
84	Achang_Longchuan	2	21	cold	kʐuat⁵⁵	cold	kʐ u a t ⁵⁵	?	?	cold (weather, water)	kʐuat⁵⁵  | 1063.28	Achang (Longchuan) TBL	2	CCVcT	k ʐ ua t ⁵⁵	10				101	-	170
85	Achang_Luxi	3	23	cold	tsiam⁵⁵	cold	ts i a m ⁵⁵	?	?	cold (weather, water)	tsiam⁵⁵  | 460.9	Achang (Luxi) JZ-Achang	3	CVcT	ts ia m ⁵⁵	10				102	-	204
86	Atsi	2	21	cold	kjoʔ²¹	cold	k j o ʔ ²¹	?	?	cold (weather, water)	kjoʔ²¹  | 1063.30	Atsi [Zaiwa] TBL	2	CCVcT	k j o ʔ ²¹	10			cold // the snow	104	-	170
87	Bola	2	21	cold	kjaʔ³¹	cold	k j a ʔ ³¹	?	?	cold (weather, water)	kjaʔ³¹  | 1063.32	Bola (Luxi) TBL	2	CCVcT	k j a ʔ ³¹	10				105	-	170
88	Lashi	4	24	cold	ŋaːm⁵⁵	cold	ŋ aː m ⁵⁵	?	?	cold (weather, water)	ŋaːm⁵⁵  | 1063.33	Leqi (Luxi) TBL	4	CVcT	ŋ aː m ⁵⁵	10				107	-	215
89	Maru	2	21	cold	kjɔʔ³¹	cold	k j ɔ ʔ ³¹	?	?	cold (weather, water)	kjɔʔ³¹  | 1063.31	Langsu (Luxi) TBL	2	CCVcT	k j ɔ ʔ ³¹	10			cold // ten cents (classifier)	106	-	170
90	Xiandao	2	21	cold	kʐot⁵⁵	cold	kʐ o t ⁵⁵	?	?	cold (weather, water)	kʐot⁵⁵  | 1063.29	Achang (Xiandao) TBL	2	CCVcT	k ʐ o t ⁵⁵	10				103	-	170
91	Achang_Lianghe	1 2	28	dirty	lɑ³¹thɑ⁵⁵	dirty	l ɑ ³¹ + tʰ ɑ ⁵⁵	?	?	dirty	lɑ³¹ thɑ⁵⁵  | 464.27	Achang (Lianghe) JZ-Achang	1 2	CVTCVT	l ɑ ³¹ ◦ th ɑ ⁵⁵	11				108	-	277
92	Achang_Longchuan	3	26	dirty	ək³⁵	dirty	ə k ³⁵	?	?	dirty	ək³⁵  | 1086.28	Achang (Longchuan) TBL	3	VcT	ə k ³⁵	11				109	-	246
93	Achang_Luxi	0 4	25	dirty	tshaʔ⁵⁵	dirty	tsʰ a ʔ ⁵⁵	?	?	dirty	tshaʔ⁵⁵  | 606	Achang (Luxi) JZ-Achang	4	CVcT	tsh a ʔ ⁵⁵	11				110	-	227
94	Atsi	0 4	25	dirty	tʃhaʔ⁵⁵	dirty	tʃʰ a ʔ ⁵⁵	?	?	dirty	tʃhaʔ⁵⁵  | 1086.30	Atsi [Zaiwa] TBL	4	CVcT	tʃh a ʔ ⁵⁵	11				112	-	227
95	Atsi_B	5 4	25	dirty	kot²¹	dirty	k o t ²¹ + tʃʰ a ʔ ⁵⁵	?	?	dirty	kot²¹; tʃhaʔ⁵⁵  | 854.42	Atsi [Zaiwa] ZMYYC	5 4	CVcTCVcT	k o t ²¹	11		kot²¹ // tʃhaʔ⁵⁵		113	-	227
96	Bola	6	27	dirty	lu̱³⁵	dirty	l u̱ ³⁵	?	?	dirty	lu̱³⁵  | 1086.32	Bola (Luxi) TBL	6	CVT	l u̱ ³⁵	11				114	-	261
97	Burmese_ZMYYC	7 8	29	dirty	ñacpat	dirty	ȵ ɑ + s p ɑ t	?	?	dirty	ȵɑs pɑt  | 854.39	Burmese (Written) ZMYYC	7 8	CVcCVc	ñ a c ◦ p a t	11				115	-	288
98	Lashi	9 10	30	dirty	a³¹san⁵⁵	dirty	a ³¹ + s a n ⁵⁵	?	?	dirty	a³¹ san⁵⁵  | 1086.33	Leqi (Luxi) TBL	9 10	VTCVcT	a ³¹ ◦ s a n ⁵⁵	11				117	-	303
99	Maru	6	27	dirty	la̱u³⁵	dirty	l a̱ u ³⁵	?	?	dirty	la̱u³⁵  | 1086.31	Langsu (Luxi) TBL	6	CVT	l a̱u ³⁵	11				116	-	261
100	Xiandao	3	26	dirty	ɤk³⁵	dirty	ɤ k ³⁵	?	?	dirty	ɤk³⁵  | 1086.29	Achang (Xiandao) TBL	3	VcT	ɤ k ³⁵	11				111	-	246
101	Achang_Longchuan	1 2 0	95	do not have	mă⁵¹pɔ⁵⁵	not	m ă ⁵¹ + p ɔ ⁵⁵	?	?	have, do not v.	mă⁵¹ pɔ⁵⁵  | 1519.28	Achang (Longchuan) TBL	1 2	CVTCVT	m ă ⁵¹ ◦ p ɔ ⁵⁵	12				491	-	1116
102	Atsi	1 0 3	95	do not have	ă²¹vo⁵⁵	not	ă ²¹ + v o ⁵⁵	?	?	have, do not v.	ă²¹ vo⁵⁵  | 1519.30	Atsi [Zaiwa] TBL	1 3	VTCVT	ă ²¹ ◦ v o ⁵⁵	12				493	-	1116
103	Bola	1 0 3	95	do not have	a³¹ɣa³⁵	not	a ³¹ + ɣ a ³⁵	?	?	have, do not v.	a³¹ ɣa³⁵  | 1519.32	Bola (Luxi) TBL	1 3	VTCVT	a ³¹ ◦ ɣ a ³⁵	12				494	-	1116
104	Lashi	1 0 3	95	do not have	a³¹ju⁵⁵	not	a ³¹ + j u ⁵⁵	?	?	have, do not v.	a³¹ ju⁵⁵  | 1519.33	Leqi (Luxi) TBL	1 3	VTCVT	a ³¹ ◦ j u ⁵⁵	12				496	-	1116
105	Maru	1 0 3	95	do not have	mə̆³¹ɣɔ⁵⁵	not	m ə̆ ³¹ + ɣ ɔ ⁵⁵	?	?	have, do not v.	mə̆³¹ ɣɔ⁵⁵  | 1519.31	Langsu (Luxi) TBL	1 3	CVTCVT	m ə̆ ³¹ ◦ ɣ ɔ ⁵⁵	12				495	-	1116
