# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	OCOGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT
35	Swedish	big	5	stoːr	s t oː r	11	3 1 7 5	ACYN	STUR	7	7.S.C 7.T.C 7.U.V 7.R.c	2.0 1.5 1.3 0.8	0	28	s t oː r
36	Icelandic	big	5	stouːr	s t ouː r	11	3 1 7 5	ACYN	STUR	5	5.S.C 5.T.C 5.U.V 5.R.c	2.0 1.5 1.3 0.8	0	28	s t ouː r
37	Dutch	big	5	xroːt	x r oː t	13	3 5 7 1	ACXN	GRUT	2	2.G.C 2.R.C 2.U.V 2.T.c	2.0 1.5 1.5 0.8	0	29	x r oː t
38	Norwegian	big	5	stuːɾ	s t uː ɾ	-11	3 1 7 5	ACYN	STYR	6	6.S.C 6.T.C 6.Y.V 6.R.c	2.0 1.5 1.3 0.8	0	28	s t uː ɾ
39	English	big	5	ɡreɪt	ɡ r eɪ t	13	1 5 7 1	ACXN	KRET	3	3.K.C 3.R.C 3.E.V 3.T.c	2.0 1.5 1.5 0.8	0	29	ɡ r eɪ t
40	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	14	4 7 1 7 1	AXBYN	MICIT	5	5.M.C 5.I.V 5.C.C 5.I.V 5.T.c	2.0 1.5 1.75 1.3 0.8	0	36	m ɪː c ɪ t͡l
#
41	German	bird	6	foːɡəl	f oː ɡ ə l	16	3 7 1 7 5	AXBYN	BUKEL	4	4.B.C 4.U.V 4.K.C 4.E.V 4.L.c	2.0 1.5 1.75 1.3 0.8	0	38	f oː ɡ ə l
42	English	bird	6	bɜːrd	b ɜː r d	15	1 7 5 1	AXLN	PERT	3	3.P.C 3.E.V 3.R.c 3.T.c	2.0 1.5 1.1 0.8	0	39	b ɜː r d
43	Danish	bird	6	fuˀl	f uˀ l	16	3 7 5	AXN	BYL	1	1.B.C 1.Y.V 1.L.c	2.0 1.5 0.8	0	37	f uˀ l
44	Swedish	bird	6	foːgel	f oː g e l	16	3 7 1 7 5	AXBYN	BUKEL	7	7.B.C 7.U.V 7.K.C 7.E.V 7.L.c	2.0 1.5 1.75 1.3 0.8	0	38	f oː g e l
45	Icelandic	bird	6	fʏkl	f ʏ k l	16	3 7 1 5	AXBC	BYKL	5	5.B.C 5.Y.V 5.K.C 5.L.C	2.0 1.5 1.75 1.5	0	38	f ʏ k - l
46	Dutch	bird	6	voːɣəl	v oː ɣ ə l	16	3 7 3 7 5	AXBYN	BUGEL	2	2.B.C 2.U.V 2.G.C 2.E.V 2.L.c	2.0 1.5 1.75 1.3 0.8	0	38	v oː ɣ ə l
47	Norwegian	bird	6	fʉːl	f ʉː l	16	3 7 5	AXN	BYL	6	6.B.C 6.Y.V 6.L.c	2.0 1.5 0.8	0	37	f ʉː l
#
48	German	bite (V)	7	baisən	b ai s ə n	17	1 7 3 7 4	AXBYN	PASEN	4	4.P.C 4.A.V 4.S.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	43	b ai s ə n
49	English	bite (V)	7	baɪt	b aɪ t	17	1 7 1	AXN	PAT	3	3.P.C 3.A.V 3.T.c	2.0 1.5 0.8	0	40	b aɪ t -
50	Danish	bite (V)	7	biːðə	b iː ð ə	17	1 7 3 7	AXBZ	PIDE	1	1.P.C 1.I.V 1.D.C 1.E.V	2.0 1.5 1.75 0.8	0	40	b iː ð ə
51	Swedish	bite (V)	7	biːta	b iː t a	17	1 7 1 7	AXBZ	PITA	7	7.P.C 7.I.V 7.T.C 7.A.V	2.0 1.5 1.75 0.8	0	40	b iː t a
52	Icelandic	bite (V)	7	piːta	p iː t a	17	1 7 1 7	AXBZ	PITA	5	5.P.C 5.I.V 5.T.C 5.A.V	2.0 1.5 1.75 0.8	0	40	p iː t a
53	Dutch	bite (V)	7	bɛɪtə	b ɛɪ t ə	17	1 7 1 7	AXBZ	PETE	2	2.P.C 2.E.V 2.T.C 2.E.V	2.0 1.5 1.75 0.8	0	40	b ɛɪ t ə
54	Norwegian	bite (V)	7	biːtə	b iː t ə	17	1 7 1 7	AXBZ	PITE	6	6.P.C 6.I.V 6.T.C 6.E.V	2.0 1.5 1.75 0.8	0	40	b iː t ə
#
55	German	black	8	ʃvart͡s	ʃ v a r t͡s	19	3 3 7 5 2	ACYLN	SBARC	4	4.S.C 4.B.C 4.A.V 4.R.c 4.C.c	2.0 1.5 1.3 1.1 0.8	0	45	ʃ v a r t͡s - -
56	English	black	8	blæk	b l æ k	18	1 5 7 1	ACXN	PLEK	3	3.P.C 3.L.C 3.E.V 3.K.c	2.0 1.5 1.5 0.8	0	46	b l æ k
57	Danish	black	8	sɒːd	s ɒː d	19	3 7 1	AXN	SOT	1	1.S.C 1.O.V 1.T.c	2.0 1.5 0.8	0	44	s ɒː d
58	Swedish	black	8	svartː	s v a r tː	19	3 3 7 5 1	ACYLN	SBART	7	7.S.C 7.B.C 7.A.V 7.R.c 7.T.c	2.0 1.5 1.3 1.1 0.8	0	45	s v a r tː - -
59	Icelandic	black	8	svar̥tʏr	s v a r̥ t ʏ r	19	3 3 7 5 1 7 5	ACYMBYN	SBARTYR	5	5.S.C 5.B.C 5.A.V 5.R.c 5.T.C 5.Y.V 5.R.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	0	45	s v a r̥ t ʏ r
60	Dutch	black	8	zʋɑrt	z ʋ ɑ r t	19	3 6 7 5 1	ACXLN	SWART	2	2.S.C 2.W.C 2.A.V 2.R.c 2.T.c	2.0 1.5 1.5 1.1 0.8	0	45	z ʋ ɑ r t - -
61	Norwegian	black	8	sɔʈ	s ɔ ʈ	19	3 7 1	AXN	SUT	6	6.S.C 6.U.V 6.T.c	2.0 1.5 0.8	0	44	s ɔ ʈ
#
62	German	blood	9	bluːt	b l uː t	20	1 5 7 1	ACXN	PLYT	4	4.P.C 4.L.C 4.Y.V 4.T.c	2.0 1.5 1.5 0.8	0	47	b l uː t
63	English	blood	9	blʌd	b l ʌ d	20	1 5 7 1	ACXN	PLET	3	3.P.C 3.L.C 3.E.V 3.T.c	2.0 1.5 1.5 0.8	0	47	b l ʌ d
64	Danish	blood	9	bloˀð	b l oˀ ð	20	1 5 7 3	ACXN	PLUD	1	1.P.C 1.L.C 1.U.V 1.D.c	2.0 1.5 1.5 0.8	0	47	b l oˀ ð
65	Swedish	blood	9	bloːd	b l oː d	20	1 5 7 1	ACXN	PLUT	7	7.P.C 7.L.C 7.U.V 7.T.c	2.0 1.5 1.5 0.8	0	47	b l oː d
66	Icelandic	blood	9	plouːθ	p l ouː θ	20	1 5 7 3	ACXN	PLUD	5	5.P.C 5.L.C 5.U.V 5.D.c	2.0 1.5 1.5 0.8	0	47	p l ouː θ
67	Dutch	blood	9	bluːt	b l uː t	20	1 5 7 1	ACXN	PLYT	2	2.P.C 2.L.C 2.Y.V 2.T.c	2.0 1.5 1.5 0.8	0	47	b l uː t
68	Norwegian	blood	9	bluː	b l uː	20	1 5 7	ACX	PLY	6	6.P.C 6.L.C 6.Y.V	2.0 1.5 1.5	0	47	b l uː -
#
69	German	bone	10	knɔxən	k n ɔ x ə n	22	1 4 7 3 7 4	ACXBYN	KNUGEN	4	4.K.C 4.N.C 4.U.V 4.G.C 4.E.V 4.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	51	k n ɔ x ə n
70	English	bone	10	bəʊn	b əʊ n	21	1 7 4	AXN	PEN	3	3.P.C 3.E.V 3.N.c	2.0 1.5 0.8	0	48	b əʊ n
71	Danish	bone	10	beˀn	b eˀ n	21	1 7 4	AXN	PEN	1	1.P.C 1.E.V 1.N.c	2.0 1.5 0.8	0	48	b eˀ n
72	Swedish	bone	10	beːn	b eː n	21	1 7 4	AXN	PEN	7	7.P.C 7.E.V 7.N.c	2.0 1.5 0.8	0	48	b eː n
73	Icelandic	bone	10	peiːn	p eiː n	21	1 7 4	AXN	PEN	5	5.P.C 5.E.V 5.N.c	2.0 1.5 0.8	0	48	p eiː n
74	Dutch	bone	10	beːn	b eː n	21	1 7 4	AXN	PEN	2	2.P.C 2.E.V 2.N.c	2.0 1.5 0.8	0	48	b eː n
75	Norwegian	bone	10	beːn	b eː n	21	1 7 4	AXN	PEN	6	6.P.C 6.E.V 6.N.c	2.0 1.5 0.8	0	48	b eː n
#
76	German	breast	11	brʊst	b r ʊ s t	23	1 5 7 3 1	ACXLN	PRYST	4	4.P.C 4.R.C 4.Y.V 4.S.c 4.T.c	2.0 1.5 1.5 1.1 0.8	0	52	b - r - ʊ s t
77	English	breast	11	brɛst	b r ɛ s t	23	1 5 7 3 1	ACXLN	PREST	3	3.P.C 3.R.C 3.E.V 3.S.c 3.T.c	2.0 1.5 1.5 1.1 0.8	0	52	b - r - ɛ s t
78	Danish	breast	11	bʁœsd	b ʁ œ s d	23	1 5 7 3 1	ACXLN	PRUST	1	1.P.C 1.R.C 1.U.V 1.S.c 1.T.c	2.0 1.5 1.5 1.1 0.8	0	52	b - ʁ - œ s d
79	Swedish	breast	11	brøst	b r ø s t	23	1 5 7 3 1	ACXLN	PRUST	7	7.P.C 7.R.C 7.U.V 7.S.c 7.T.c	2.0 1.5 1.5 1.1 0.8	0	52	b - r - ø s t
80	Icelandic	breast	11	b̥rjousd̥	b̥ r j ou s d̥	23	1 5 6 7 3 1	ACCXLN	PRJUST	5	5.P.C 5.R.C 5.J.C 5.U.V 5.S.c 5.T.c	2.0 1.5 1.5 1.5 1.1 0.8	0	52	b̥ - r j ou s d̥
81	Dutch	breast	11	bɔrst	b ɔ r s t	23	1 7 5 3 1	AXLLN	PURST	2	2.P.C 2.U.V 2.R.c 2.S.c 2.T.c	2.0 1.5 1.1 1.1 0.8	0	52	b ɔ r - - s t
82	Norwegian	breast	11	bɾyst	b ɾ y s t	-23	1 5 7 3 1	ACXLN	PRYST	6	6.P.C 6.R.C 6.Y.V 6.S.c 6.T.c	2.0 1.5 1.5 1.1 0.8	0	52	b - ɾ - y s t
#
83	German	burn (V)	12	brɛnən	b r ɛ n ə n	24	1 5 7 4 7 4	ACXBYN	PRENEN	4	4.P.C 4.R.C 4.E.V 4.N.C 4.E.V 4.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	53	b r ɛ n - ə n -
84	English	burn (V)	12	bɜːrn	b ɜː r n	24	1 7 5 4	AXLN	PERN	3	3.P.C 3.E.V 3.R.c 3.N.c	2.0 1.5 1.1 0.8	0	55	b ɜː r n
85	Danish	burn (V)	12	bʁanə	b ʁ a n ə	24	1 5 7 4 7	ACXBZ	PRANE	1	1.P.C 1.R.C 1.A.V 1.N.C 1.E.V	2.0 1.5 1.5 1.75 0.8	0	53	b ʁ a - - - n ə
86	Swedish	burn (V)	12	brɛnːa	b r ɛ nː a	24	1 5 7 4 7	ACXBZ	PRENA	7	7.P.C 7.R.C 7.E.V 7.N.C 7.A.V	2.0 1.5 1.5 1.75 0.8	0	53	b r ɛ - - - nː a
87	Icelandic	burn (V)	12	b̥rɛtna	b̥ r ɛ t n a	24	1 5 7 1 4 7	ACXBCZ	PRETNA	5	5.P.C 5.R.C 5.E.V 5.T.C 5.N.C 5.A.V	2.0 1.5 1.5 1.75 1.5 0.8	0	53	b̥ r ɛ - t - n a
88	Dutch	burn (V)	12	brɑndə	b r ɑ n d ə	24	1 5 7 4 1 7	ACXMBZ	PRANTE	2	2.P.C 2.R.C 2.A.V 2.N.c 2.T.C 2.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	53	b r ɑ n d - - ə
89	Norwegian	burn (V)	12	bɾenə	b ɾ e n ə	24	1 5 7 4 7	ACXBZ	PRENE	6	6.P.C 6.R.C 6.E.V 6.N.C 6.E.V	2.0 1.5 1.5 1.75 0.8	0	53	b ɾ e - - - n ə
#
90	German	claw	13	naːɡəl	n aː ɡ ə l	25	4 7 1 7 5	AXBYN	NAKEL	4	4.N.C 4.A.V 4.K.C 4.E.V 4.L.c	2.0 1.5 1.75 1.3 0.8	0	57	n aː ɡ ə l
91	English	claw	13	neɪl	n eɪ l	25	4 7 5	AXN	NEL	3	3.N.C 3.E.V 3.L.c	2.0 1.5 0.8	0	56	n eɪ - l
92	Danish	claw	13	nɑjˀl	n ɑ jˀ l	25	4 7 6 5	AXLN	NAJL	1	1.N.C 1.A.V 1.J.c 1.L.c	2.0 1.5 1.1 0.8	0	56	n ɑ jˀ l
93	Swedish	claw	13	naːgel	n aː g e l	25	4 7 1 7 5	AXBYN	NAKEL	7	7.N.C 7.A.V 7.K.C 7.E.V 7.L.c	2.0 1.5 1.75 1.3 0.8	0	57	n aː g e l
94	Icelandic	claw	13	nakl	n a k l	25	4 7 1 5	AXBC	NAKL	5	5.N.C 5.A.V 5.K.C 5.L.C	2.0 1.5 1.75 1.5	0	57	n a k - l
95	Dutch	claw	13	naːɣəl	n aː ɣ ə l	25	4 7 3 7 5	AXBYN	NAGEL	2	2.N.C 2.A.V 2.G.C 2.E.V 2.L.c	2.0 1.5 1.75 1.3 0.8	0	57	n aː ɣ ə l
96	Norwegian	claw	13	næjl	n æ j l	25	4 7 6 5	AXLN	NEJL	6	6.N.C 6.E.V 6.J.c 6.L.c	2.0 1.5 1.1 0.8	0	56	n æ j l
#
97	German	cloud	14	vɔlkə	v ɔ l k ə	26	3 7 5 1 7	AXMBZ	BULKE	4	4.B.C 4.U.V 4.L.c 4.K.C 4.E.V	2.0 1.5 1.1 1.75 0.8	0	59	v ɔ l k ə
98	English	cloud	14	klaʊd	k l aʊ d	29	1 5 7 1	ACXN	KLAT	3	3.K.C 3.L.C 3.A.V 3.T.c	2.0 1.5 1.5 0.8	0	60	k l aʊ d
99	Danish	cloud	14	sgyˀ	s g yˀ	28	3 1 7	ACZ	SKY	1	1.S.C 1.K.C 1.Y.V	2.0 1.5 0.8	0	58	s g yˀ
100	Swedish	cloud	14	ɧyː	ɧ yː	28	3 7	AX	SY	7	7.S.C 7.Y.V	2.0 1.5	0	63	ɧ yː
101	Icelandic	cloud	14	sciː	s c iː	28	3 1 7	ACZ	SCI	5	5.S.C 5.C.C 5.I.V	2.0 1.5 0.8	0	58	s c iː
102	Dutch	cloud	14	ʋɔlk	ʋ ɔ l k	26	6 7 5 1	AXLN	WULK	2	2.W.C 2.U.V 2.L.c 2.K.c	2.0 1.5 1.1 0.8	0	59	ʋ ɔ l k -
103	Norwegian	cloud	14	ʃyː	ʃ yː	-28	3 7	AX	SY	6	6.S.C 6.Y.V	2.0 1.5	0	63	ʃ yː
104	Swedish	cloud	14	moːln	m oː l n	27	4 7 5 4	AXLN	MULN	7	7.M.C 7.U.V 7.L.c 7.N.c	2.0 1.5 1.1 0.8	0	65	m oː l n
#
105	German	cold	15	kalt	k a l t	30	1 7 5 1	AXLN	KALT	4	4.K.C 4.A.V 4.L.c 4.T.c	2.0 1.5 1.1 0.8	0	66	k a l t
106	English	cold	15	kəʊld	k əʊ l d	30	1 7 5 1	AXLN	KELT	3	3.K.C 3.E.V 3.L.c 3.T.c	2.0 1.5 1.1 0.8	0	66	k əʊ l d
107	Danish	cold	15	kʌlˀ	k ʌ lˀ	30	1 7 5	AXN	KEL	1	1.K.C 1.E.V 1.L.c	2.0 1.5 0.8	0	66	k ʌ lˀ -
108	Swedish	cold	15	kalː	k a lː	30	1 7 5	AXN	KAL	7	7.K.C 7.A.V 7.L.c	2.0 1.5 0.8	0	66	k a lː -
109	Icelandic	cold	15	kʰaltʏr	kʰ a l t ʏ r	30	1 7 5 1 7 5	AXMBYN	KALTYR	5	5.K.C 5.A.V 5.L.c 5.T.C 5.Y.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	70	kʰ a l t ʏ r
110	Dutch	cold	15	kɑut	k ɑu t	30	1 7 1	AXN	KAT	2	2.K.C 2.A.V 2.T.c	2.0 1.5 0.8	0	67	k ɑu t
111	Norwegian	cold	15	kɑl	k ɑ l	-30	1 7 5	AXN	KAL	6	6.K.C 6.A.V 6.L.c	2.0 1.5 0.8	0	66	k ɑ l -
#
112	German	come (V)	16	kɔmən	k ɔ m ə n	31	1 7 4 7 4	AXBYN	KUMEN	4	4.K.C 4.U.V 4.M.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	71	k ɔ m ə n
113	English	come (V)	16	kʌm	k ʌ m	31	1 7 4	AXN	KEM	3	3.K.C 3.E.V 3.M.c	2.0 1.5 0.8	0	71	k ʌ m - -
114	Danish	come (V)	16	kʌmə	k ʌ m ə	31	1 7 4 7	AXBZ	KEME	1	1.K.C 1.E.V 1.M.C 1.E.V	2.0 1.5 1.75 0.8	0	71	k ʌ m ə -
115	Swedish	come (V)	16	komːa	k o mː a	31	1 7 4 7	AXBZ	KUMA	7	7.K.C 7.U.V 7.M.C 7.A.V	2.0 1.5 1.75 0.8	0	71	k o mː a -
116	Icelandic	come (V)	16	kʰɔːma	kʰ ɔː m a	31	1 7 4 7	AXBZ	KUMA	5	5.K.C 5.U.V 5.M.C 5.A.V	2.0 1.5 1.75 0.8	0	71	kʰ ɔː m a -
117	Dutch	come (V)	16	aːŋkoːmə	aː ŋ k oː m ə	31	7 4 1 7 4 7	XMBYBZ	ANKUME	2	2.A.V 2.N.c 2.K.C 2.U.V 2.M.C 2.E.V	1.5 1.1 1.75 1.3 1.75 0.8	0	72	aː ŋ k oː m ə
118	Norwegian	come (V)	16	kɔmə	k ɔ m ə	31	1 7 4 7	AXBZ	KUME	6	6.K.C 6.U.V 6.M.C 6.E.V	2.0 1.5 1.75 0.8	0	71	k ɔ m ə -
#
119	German	die (V)	17	ʃtɛrbən	ʃ t ɛ r b ə n	32	3 1 7 5 1 7 4	ACYMBYN	STERPEN	4	4.S.C 4.T.C 4.E.V 4.R.c 4.P.C 4.E.V 4.N.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	0	74	ʃ t ɛ r b ə n
120	English	die (V)	17	daɪ	d aɪ	-33	1 7	AX	TA	3	3.T.C 3.A.V	2.0 1.5	0	73	d aɪ
121	Danish	die (V)	17	døˀ	d øˀ	33	1 7	AX	TU	1	1.T.C 1.U.V	2.0 1.5	0	73	d øˀ
122	Swedish	die (V)	17	dø	d ø	33	1 7	AX	TU	7	7.T.C 7.U.V	2.0 1.5	0	73	d ø
123	Icelandic	die (V)	17	teiːja	t eiː j a	33	1 7 6 7	AXBZ	TEJA	5	5.T.C 5.E.V 5.J.C 5.A.V	2.0 1.5 1.75 0.8	0	77	t eiː j a
124	Dutch	die (V)	17	stɛrvə	s t ɛ r v ə	32	3 1 7 5 3 7	ACYMBZ	STERBE	2	2.S.C 2.T.C 2.E.V 2.R.c 2.B.C 2.E.V	2.0 1.5 1.3 1.1 1.75 0.8	0	74	s t ɛ r v ə -
125	Norwegian	die (V)	17	døː	d øː	33	1 7	AX	TU	6	6.T.C 6.U.V	2.0 1.5	0	73	d øː
#
126	German	dog	18	hʊnt	h ʊ n t	35	3 7 4 1	AXLN	HYNT	4	4.H.C 4.Y.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	0	78	h ʊ n t
127	English	dog	18	dɔɡ	d ɔ ɡ	34	1 7 1	AXN	TUK	3	3.T.C 3.U.V 3.K.c	2.0 1.5 0.8	0	80	d ɔ ɡ
128	Danish	dog	18	hunˀ	h u nˀ	35	3 7 4	AXN	HYN	1	1.H.C 1.Y.V 1.N.c	2.0 1.5 0.8	0	78	h u nˀ -
129	Swedish	dog	18	hunːd	h u nː d	35	3 7 4 1	AXLN	HYNT	7	7.H.C 7.Y.V 7.N.c 7.T.c	2.0 1.5 1.1 0.8	0	78	h u nː d
130	Icelandic	dog	18	hʏntʏr	h ʏ n t ʏ r	35	3 7 4 1 7 5	AXMBYN	HYNTYR	5	5.H.C 5.Y.V 5.N.c 5.T.C 5.Y.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	82	h ʏ n t ʏ r
131	Dutch	dog	18	hɔnt	h ɔ n t	35	3 7 4 1	AXLN	HUNT	2	2.H.C 2.U.V 2.N.c 2.T.c	2.0 1.5 1.1 0.8	0	78	h ɔ n t
132	Norwegian	dog	18	hʉn	h ʉ n	-35	3 7 4	AXN	HYN	6	6.H.C 6.Y.V 6.N.c	2.0 1.5 0.8	0	78	h ʉ n -
#
