# SIN
ID	Languages	Gloss	GlossId	Ortho	IPA	CogID
51	Meixian	star	3	星儿	sen⁴⁴ne	1127
52	Changsha	star	3	星子	sin³³ʦɿ	6
53	Guixian	star	3	星宿	ɕin⁵⁵ɕju²¹³	6
54	Xiamen	star	3	星	ʦʰĩ⁵⁵	6
55	Hefei	star	3	星	ɕin²¹	6
56	Jinan	star	3	星	ɕiŋ²¹³	6
57	Hangzhou	star	3	星	ɕin³³	6
58	Guangzhou	star	3	星	seŋ⁵⁵	6
59	Nanchang	star	3	星子	sjɑŋ⁴²ʦɿ⁰²	6
60	Chengdu	star	3	星星儿	ɕin⁵⁵ɕir⁵⁵	6
61	Taiyuan	star	3	星宿	ɕi¹¹ɕjəwiəu⁴⁵	6
62	Shexian	star	3	天星	tʰe³¹sjʌ̃³¹	6
63	Beijing	star	3	星星	ɕiŋ⁵⁵ɕiŋ²	6
64	Kunming	star	3	星宿	ɕĩ⁴⁴ɕjəwiəu²¹²	6
65	Shanghai	star	3	星	ɕiŋ⁵³	6
# 
66	Meixian	thunder	4	响雷公	hjoŋ³¹lwi¹¹kuŋ⁴⁴	219
67	Changsha	thunder	4	打雷	ta⁴¹lej¹³	97
68	Guixian	thunder	4	打雷	ta⁴²lwejuei²¹	97
69	Guixian	thunder	4	吼雷	xəw⁴²lwejuei²¹	360
70	Xiamen	thunder	4	陈雷	tan³⁵lwi	306
71	Hefei	thunder	4	打雷	ta²⁴le⁵⁵	97
72	Jinan	thunder	4	打雷	ta⁵⁵lwejuei⁴²	97
73	Hangzhou	thunder	4	打雷	tɑ⁵³lej²¹³	97
74	Guangzhou	thunder	4	行雷	haŋ²¹løɥ²¹	679
75	Nanchang	thunder	4	恨雷	hɛn²¹lwi⁴⁵	467
76	Nanchang	thunder	4	打雷	tɑ²¹³lwi⁴⁵	97
77	Chengdu	thunder	4	打雷	ta⁵³nwejuei³¹	97
78	Chengdu	thunder	4	响雷	ɕjaŋ⁵³nwejuei³¹	219
79	Taiyuan	thunder	4	响忽雷	xjɒ̃⁵³xwəʔ²lwejuei¹¹	219
80	Shexian	thunder	4	打霹雳	ta³⁵pʰɛ²¹lɛ	934
81	Shexian	thunder	4	打天雷	ta³⁵tʰe³¹lɛ⁴⁴	97
82	Beijing	thunder	4	打雷	ta²¹⁴lej³⁵	97
83	Kunming	thunder	4	升雷	ʂə̃⁴⁴lwejuei³¹	1088
84	Shanghai	thunder	4	雷响	le¹³ɕjã³⁴	219
85	Shanghai	thunder	4	打雷	tã³⁵le²³	97
# 
86	Changsha	lightning	5	扯闪	t͡ʂʰʅ⁴¹ʂə̃⁴¹	885
87	Guixian	lightning	5	火闪	xo⁴²san⁴²	291
88	Guixian	lightning	5	扯火闪	ʦʰej⁴²xo⁴²san⁴²	885
89	Hefei	lightning	5	打闪	ta²⁴ʂən²⁴	86
90	Jinan	lightning	5	打闪	ta⁵⁵ʂã⁵⁵	86
91	Hangzhou	lightning	5	霍闪	hwoʔ⁵sɥõ⁵³	18
92	Guangzhou	lightning	5	闪电	sim³⁵tin²²	86
93	Guangzhou	lightning	5	摄电	sip³tin²²	525
94	Nanchang	lightning	5	打霍闪	tɑ²¹³fɔʔ⁵sɛn⁰²	18
95	Chengdu	lightning	5	火闪	xo⁵³san⁵³	291
96	Taiyuan	lightning	5	打闪	ta⁵³sæ̃⁵³	86
97	Shexian	lightning	5	打热闪	ta³⁵ne²²ɕɥe³²⁴	86
98	Shexian	lightning	5	扯热闪	ʨʰja³⁵ne²²ɕɥe³²⁴	885
99	Beijing	lightning	5	闪电	ʂan²¹⁴tjan⁵¹	86
100	Kunming	lightning	5	扯闪	t͡ʂʰə⁵³ʂᴀ̃⁵³	885
101	Shanghai	lightning	5	霍险	hoʔ⁵ɕi³⁵	1105
102	Shanghai	lightning	5	闪电	sø³⁵di¹³	86
# 
103	Meixian	rain	6	落雨	lok⁵i³¹	1162
104	Changsha	rain	6	落雨	lo²⁴y⁴¹	1162
105	Guixian	rain	6	下雨	ɕja²¹³i⁴²	140
106	Guixian	rain	6	落雨	lo²¹i⁴²	1162
107	Xiamen	rain	6	落雨	loʔ⁵hɔ²²	1162
108	Hefei	rain	6	下雨	ɕja⁵³zy²⁴	140
109	Jinan	rain	6	下雨	ɕja²¹y⁵⁵	140
110	Hangzhou	rain	6	落雨	loʔ²y⁵³	1162
111	Guangzhou	rain	6	落雨	lɔk²jy²³	1162
112	Nanchang	rain	6	落雨	lɔʔ²y²¹³	1162
113	Chengdu	rain	6	下雨	ɕja¹³y⁵³	140
114	Chengdu	rain	6	落雨	no³¹y⁵³	1162
115	Taiyuan	rain	6	下雨	xa⁴⁵y⁵³	140
116	Shexian	rain	6	落雨	lɔ²²y³⁵	1162
117	Beijing	rain	6	下雨	ɕja⁵¹y²¹⁴	140
118	Kunming	rain	6	下雨	ɕjᴀ²¹²i⁵³	140
119	Shanghai	rain	6	落雨	loʔ¹ɦy²³	1162
# 
120	Meixian	snow	7	落雪	lok⁵sjet¹	1163
121	Changsha	snow	7	落雪	lo²⁴sje²⁴	1163
122	Guixian	snow	7	下雪	ɕja²¹³ɕjɛ²¹	139
123	Xiamen	snow	7	落雪	loʔ⁵seʔ³²	1163
124	Hefei	snow	7	下雪	ɕja⁵³ɕɥɐʔ⁵	139
125	Jinan	snow	7	下雪	ɕja²¹ɕɥə²¹³	139
126	Jinan	snow	7	落雪	lwə²¹ɕɥə²¹³	1163
127	Hangzhou	snow	7	落雪	loʔ²ɕjəʔ⁵	1163
128	Guangzhou	snow	7	落雪	lɔk²syt³	1163
129	Nanchang	snow	7	落雪	lɔʔ²ɕɥɵʔ⁵	1163
130	Chengdu	snow	7	下雪	ɕja¹³ɕɥe³¹	139
131	Chengdu	snow	7	落雪	no³¹ɕɥe³¹	1163
132	Taiyuan	snow	7	下雪	xa⁴⁵ɕɥəʔ²	139
133	Shexian	snow	7	落雪	lɔ²²ɕɥeʔ²¹	1163
134	Beijing	snow	7	下雪	ɕja⁵¹ɕɥɛ²¹⁴	139
135	Kunming	snow	7	下雪	ɕjᴀ²¹²ɕjɛ³¹	139
136	Shanghai	snow	7	落雪	loʔ¹ɕjɪʔ⁵	1163
# 
137	Meixian	hail	8	雹	pʰok⁵	191
138	Changsha	hail	8	冰雹	pin³³pʰaw⁵⁵	31
139	Guixian	hail	8	冰雹	pin⁵⁵pa	31
140	Guixian	hail	8	白雨	pɛ²¹i⁴²	924
141	Xiamen	hail	8	雹	pʰawʔ⁵	191
142	Hefei	hail	8	盐豆子	jɪ̃⁵⁵tɯ⁵³ʦə	1077
143	Jinan	hail	8	雹子	pa⁴²ʦɿ	31
144	Jinan	hail	8	冷子	ləŋ⁵⁵ʦɿ	1151
145	Hangzhou	hail	8	冰雹	pin³³bɔ²¹³	31
146	Guangzhou	hail	8	雹	pɔk²	191
147	Guangzhou	hail	8	雪珠	syt³ʦy⁵⁵	1197
148	Nanchang	hail	8	雹子	pʰɔʔ²ʦɿ⁰²	31
149	Chengdu	hail	8	冰雹子	pin⁵⁵paw¹³ʦɿ⁵³	31
150	Chengdu	hail	8	冰弹子	pin⁵⁵tan¹³ʦɿ⁵³	911
151	Chengdu	hail	8	雪弹子	ɕɥe³¹tan¹³ʦɿ⁵³	836
152	Taiyuan	hail	8	冷弹子	ləŋ⁵³tæ̃⁴⁵ʦəʔ	1151
153	Shexian	hail	8	冰雹	pjʌ̃³¹pʰɔ²²	31
154	Beijing	hail	8	雹子	pɑw³⁵ʦɿ³	31
155	Kunming	hail	8	冰雹	pĩ⁴⁴pɔ²¹²	31
156	Kunming	hail	8	雪弹子	ɕjɛ³¹tᴀ̃²¹²ʦɿ	836
157	Kunming	hail	8	雪薄子	ɕjɛ³¹po³¹ʦɿ⁵³	252
158	Shanghai	hail	8	冰雹	piŋ⁵³bɔ³	31
# 
159	Meixian	freeze	9	结冰	kjat¹pen⁴⁴	711
160	Changsha	freeze	9	下凌	ɕja¹¹lin¹¹	282
161	Changsha	freeze	9	构凌	kəw⁵⁵lin¹¹	1099
162	Guixian	freeze	9	结冰	ʨjɛ²¹pin	711
163	Guixian	freeze	9	起凌冰	ʨʰi⁴²lin²¹³pin⁵⁵	515
164	Xiamen	freeze	9	结冰	kjat³²piŋ⁵⁵	711
165	Xiamen	freeze	9	坚冰	kjan⁵⁵piŋ⁵⁵	490
166	Hefei	freeze	9	结冰	ʨiʔ⁵pin²¹	711
167	Jinan	freeze	9	冻冻	tuŋ²¹³tuŋ	776
168	Hangzhou	freeze	9	结冰	ʨjəʔ⁵pin³³	711
169	Guangzhou	freeze	9	结冰	kit³peŋ⁵⁵	711
170	Nanchang	freeze	9	结冰	ʨjɛʔ⁵pin⁴²	711
171	Nanchang	freeze	9	凌到了	lɛn²¹tɑw⁰²ljɛwiɛu⁰²	373
172	Chengdu	freeze	9	结冰	ʨje³¹pin⁵⁵	711
173	Taiyuan	freeze	9	冻冰	twəŋ⁴⁵pjəŋ¹¹	776
174	Shexian	freeze	9	冻冰	tʌ̃³²⁴pjʌ̃³¹	776
175	Beijing	freeze	9	结冰	ʨjɛ⁵⁵piŋ⁵⁵	711
176	Kunming	freeze	9	结冰	ʨjɛ³¹pĩ⁴⁴	711
177	Shanghai	freeze	9	结冰	ʨjɪʔ⁵piŋ⁵³	711
# 
178	Meixian	blow	10	起风	hi³¹fuŋ⁴⁴	833
179	Changsha	blow	10	起风	ʨʰi⁴¹xoŋ³³	833
180	Changsha	blow	10	发风	fa²⁴xoŋ³³	636
181	Guixian	blow	10	吹风	ʦʰwejuei⁵⁵foŋ⁵⁵	1136
182	Xiamen	blow	10	起风	kʰi⁵³hɔŋ⁵⁵	833
183	Hefei	blow	10	起风	ʦʰɿ²⁴fəŋ²¹	833
184	Jinan	blow	10	刮风	kwa²¹³fəŋ²¹³	192
185	Hangzhou	blow	10	起风	ʨʰi⁵³foŋ³³	833
186	Hangzhou	blow	10	刮风	kwɑʔ⁵foŋ³³	192
187	Guangzhou	blow	10	翻风	fan⁵³foŋ⁵³	856
188	Guangzhou	blow	10	打风刮台风	ta³⁵foŋ⁵³	66
189	Nanchang	blow	10	起风	ʨʰi²¹³fuŋ⁴²	833
190	Chengdu	blow	10	刮风	kwa³¹foŋ⁵⁵	192
191	Chengdu	blow	10	起风	ʨʰi⁵³foŋ⁵⁵	833
192	Chengdu	blow	10	吹风	ʦʰwejuei⁵⁵foŋ⁵⁵	1136
193	Taiyuan	blow	10	刮风	kwaʔ²fəŋ¹¹	192
194	Shexian	blow	10	起风	ʨʰi³⁵fʌ̃³¹	833
195	Shexian	blow	10	发风	fa²¹fʌ̃³¹	636
196	Beijing	blow	10	刮风	kwa⁵⁵fəŋ⁵⁵	192
197	Kunming	blow	10	刮风	kwᴀ³¹foŋ⁴⁴	192
198	Kunming	blow	10	起风	ʨʰi⁵³foŋ⁴⁴	833
199	Shanghai	blow	10	起风	ʨʰi³⁵foŋ⁵³	833
200	Shanghai	blow	10	刮风	kwaʔ⁵foŋ⁵³	192
# 
201	Meixian	rainbow	11	天弓	tʰjen⁴⁴kjuŋ⁴⁴	894
202	Changsha	rainbow	11	虹	kan⁵⁵	855
203	Guixian	rainbow	11	虹	kaŋ²¹³	855
204	Xiamen	rainbow	11	虹	kʰiŋ²²	855
205	Hefei	rainbow	11	虹	ʨjɑ̃⁵³	855
206	Jinan	rainbow	11	虹	ʨjaŋ²¹	855
207	Hangzhou	rainbow	11	鱟	hej⁴⁴⁵	809
208	Guangzhou	rainbow	11	虹	hoŋ²¹	855
209	Nanchang	rainbow	11	虹	kɔŋ⁴⁵	855
210	Chengdu	rainbow	11	虹	xoŋ³¹	855
211	Chengdu	rainbow	11	彩虹	ʦʰaj⁵³xoŋ³¹	796
212	Chengdu	rainbow	11	天桥	tʰjan⁵⁵ʨʰjawiau³¹	131
213	Taiyuan	rainbow	11	虹	ʨjɒ̃⁵³	855
214	Shexian	rainbow	11	虹	ka³²⁴	855
215	Shexian	rainbow	11	彩虹	ʦʰɛ³⁵ka³²⁴	796
216	Beijing	rainbow	11	虹	ʨjɑŋ⁵¹	855
217	Kunming	rainbow	11	虹	kᴀ̃²¹²	855
218	Shanghai	rainbow	11	鲎	hɤ³⁵	458
219	Shanghai	rainbow	11	彩虹	ʦʰe³⁵ɦoŋ¹³	796
# 
220	Meixian	this year	15	今年	kin⁴⁴ŋjan¹¹	760
221	Changsha	this year	15	今年	ʨin³³ȵjẽ¹³	760
222	Guixian	this year	15	今年	ʨin⁵⁵ljan²¹	760
223	Guixian	this year	15	真年	ʦen⁵⁵ljan²¹	462
224	Xiamen	this year	15	今年	kin⁵⁵ni³⁵	760
225	Hefei	this year	15	今年	ʨin²¹ljɪ̃⁵⁵	760
226	Jinan	this year	15	今年	ʨjẽ²¹³jã⁴²	760
227	Hangzhou	this year	15	根年	ken³³ȵjᴇ̃²¹³	352
228	Guangzhou	this year	15	今年	kɐm⁵³nin²¹	760
229	Nanchang	this year	15	今年	ʨin⁴²ȵjɛn⁰²	760
230	Chengdu	this year	15	今年	ʨin⁵⁵ȵjan³¹	760
231	Taiyuan	this year	15	今年	ʨjəŋ¹¹nje¹¹	760
232	Shexian	this year	15	根年	kʌ̃³¹ne⁴⁴	352
233	Beijing	this year	15	今年个	ʨin⁵⁵njan³⁵kə³	760
234	Kunming	this year	15	今年	ʨĩ⁴⁴njɛ̃³¹	760
235	Shanghai	this year	15	今年	ʨiŋ⁵³ȵi¹³	760
# 
236	Meixian	today	20	今日	kim⁴⁴ŋit¹	19
237	Changsha	today	20	今朝	ʨin³³t͡ʂaw³³	316
238	Changsha	today	20	今日	ʨin³³ʐʅ²⁴	19
239	Guixian	today	20	今天	ʨin⁵⁵tʰjan⁵⁵	817
240	Guixian	today	20	真天	ʦen⁵⁵tʰjan⁵⁵	546
241	Xiamen	today	20	今仔日	kin⁵⁵na⁵³lit⁵	19
242	Hefei	today	20	皆个	ʨi²¹kə	125
243	Jinan	today	20	今天	ʨjẽ²¹³tʰjã²¹³	817
244	Jinan	today	20	今们儿	ʨi²¹³mer	751
245	Hangzhou	today	20	根朝	ken³³ʦɔ³³	1157
246	Guangzhou	today	20	今日	kɐm⁵³jɐt²	19
247	Nanchang	today	20	今日	ʨin⁴²ȵiʔ⁰²	19
248	Chengdu	today	20	今天	ʨin⁵⁵tʰjan⁵⁵	817
249	Taiyuan	today	20	今日	ʨjəŋ¹¹zəŋ²	19
250	Taiyuan	today	20	今天	ʨjəŋ¹¹tʰje¹¹	817
251	Shexian	today	20	昨日	ʦʰo²²ni²²	623
252	Shexian	today	20	昨朝	ʦʰo²²ʨjɔ³¹	1
253	Beijing	today	20	今儿个	ʨjər⁵⁵kə²	245
254	Kunming	today	20	今儿日	ʨjə⁴⁴ʐʅ³¹	19
255	Shanghai	today	20	今朝	ʨiŋ⁵³ʦɔ⁵³	316
# 
256	Meixian	wheat	22	麦儿	mak⁵e	1127
257	Changsha	wheat	22	麦子	mə²⁴ʦɿ	939
258	Guixian	wheat	22	麦子	mɛ²¹ʦɿ⁴²	939
259	Xiamen	wheat	22	麦仔	beʔ⁵ja⁵³	149
260	Xiamen	wheat	22	麦	beʔ⁵	384
261	Hefei	wheat	22	麦子	mɐʔ⁵ʦə	939
262	Jinan	wheat	22	麦子	mej²¹ʦɿ	939
263	Hangzhou	wheat	22	麦子	mɑʔ²ʦɿ⁵³	939
264	Guangzhou	wheat	22	麦	mɐk²	384
265	Nanchang	wheat	22	麦子	mɑʔ²ʦɿ⁰²	939
266	Chengdu	wheat	22	麦子	me³¹ʦɿ⁵³	939
267	Taiyuan	wheat	22	麦子	mjəʔ²ʦəʔ	939
268	Shexian	wheat	22	小麦	sjɔ³⁵mɛ²²	172
269	Shexian	wheat	22	麦	mɛ²²	384
270	Beijing	wheat	22	麦子	maj⁵¹ʦɿ¹	939
271	Kunming	wheat	22	麦子	mə³¹ʦɿ⁵³	939
272	Shanghai	wheat	22	麦子	maʔ¹ʦɿ³⁵	939
# 
273	Meixian	sunflower	24	向日葵	hjoŋ⁵³ŋit¹kʰwi¹¹	928
274	Changsha	sunflower	24	葵花	kwejuei¹³fa³³	358
275	Guixian	sunflower	24	葵花	kʰwejuei²¹xwa⁵⁵	358
276	Xiamen	sunflower	24	向日葵	hjɔŋ²¹lit⁵kʰwi	928
277	Xiamen	sunflower	24	向阳花	hjɔŋ²¹jɔŋ³⁵hwe⁵⁵	1012
278	Hefei	sunflower	24	葵花	kʰwe⁵⁵xwa²¹	358
279	Jinan	sunflower	24	朝阳花	t͡ʂʰaŋ⁴²jaŋxwa²¹³	344
280	Hangzhou	sunflower	24	葵花	gwi²¹³hwɑ³³	358
281	Hangzhou	sunflower	24	向日葵	ɕjɑŋ⁴⁴⁵zʔ²gwi²¹³	928
282	Guangzhou	sunflower	24	向日葵	hœŋ³³jɐt²kʰwɐj²¹	928
283	Guangzhou	sunflower	24	葵花	kʰwɐj²¹fa⁵⁵	358
284	Nanchang	sunflower	24	葵花	kʰwi²⁴fɑ⁴²	358
285	Chengdu	sunflower	24	向日葵	ɕjaŋ¹³zɿ³¹kʰwejuei³¹	928
286	Chengdu	sunflower	24	向儿葵	ɕjaŋ¹³ər³¹kʰwejuei³¹	639
287	Chengdu	sunflower	24	葵花	kʰwejuei³¹xwa⁵⁵	358
288	Taiyuan	sunflower	24	葵花	kʰwejuei¹¹xwa¹¹	358
289	Shexian	sunflower	24	葵花莲	kʰwe⁴⁴xwa³¹le⁴⁴	358
290	Shexian	sunflower	24	丝瓜莲	s³¹kwa³¹le⁴⁴	1161
291	Beijing	sunflower	24	转日莲	t͡ʂwan⁵¹ʐʅ¹ljan³⁵	78
292	Beijing	sunflower	24	向日葵	ɕjaŋ⁵¹ʐʅ¹kʰwejuei³⁵	928
293	Beijing	sunflower	24	葵花	kʰwejuei³⁵xwa⁵⁵	358
294	Kunming	sunflower	24	朝阳饼	t͡ʂʰ³¹jᴀ̃³¹pĩ⁵³	1121
295	Shanghai	sunflower	24	向日葵	ɕjã³⁵zəʔ¹²gwe¹³	928
296	Shanghai	sunflower	24	葵花	gwe¹³ho⁵³	358
# 
297	Meixian	spinach	25	角菜儿	kok¹ʦʰoj⁵³je	333
298	Changsha	spinach	25	菠菜	po³³ʦʰaj⁵⁵	249
299	Guixian	spinach	25	菠菜	po⁵⁵ʦʰaj²¹³	249
300	Xiamen	spinach	25	菠菱菜	pe⁵⁵liŋ³⁵ʦʰaj²¹	249
301	Hefei	spinach	25	菠菜	pu²¹ʦʰᴇ⁵³	249
302	Jinan	spinach	25	菠菜	pə²¹³ʦʰɛ	249
303	Hangzhou	spinach	25	菠菜	po³³ʦʰᴇ⁴⁴⁵	249
304	Guangzhou	spinach	25	菠菜	pɔ⁵³ʦʰɔj³³	249
305	Nanchang	spinach	25	菠菜	po⁴²ʦʰaj⁰²	249
306	Chengdu	spinach	25	菠菜	po⁵⁵ʦʰaj¹³	249
307	Taiyuan	spinach	25	青菜	ʨʰi¹¹ʦʰaj⁴⁵	1164
308	Taiyuan	spinach	25	菠菜	pɤ¹¹ʦʰaj⁴⁵	249
309	Shexian	spinach	25	菠菜	po³¹ʦʰɛ³²⁴	249
310	Beijing	spinach	25	菠菜	po³⁵ʦʰaj⁵¹	249
311	Kunming	spinach	25	菠菜	po⁴⁴ʦʰæ²¹²	249
312	Shanghai	spinach	25	菠菜	pu⁵³ʦʰe³⁵	249
# 
313	Meixian	cabbage	26	包菜	paw⁴⁴ʦʰoj⁵³	456
314	Changsha	cabbage	26	包菜	paw³³ʦʰaj⁵⁵	456
315	Guixian	cabbage	26	裹心白	ko⁴²ɕin⁵⁵pɛ²¹	312
316	Xiamen	cabbage	26	高丽菜	ko⁵⁵le³⁵ʦʰaj²¹	1159
317	Hefei	cabbage	26	包头菜	pu²¹tʰɯ⁵⁵ʦʰᴇ⁵³	456
318	Jinan	cabbage	26	卷心菜	ʨɥã⁵⁵ɕjẽ²¹³ʦʰɛ²¹	876
319	Jinan	cabbage	26	洋白菜	jaŋ⁴²pej⁴²ʦʰɛ	958
320	Jinan	cabbage	26	圆白菜	ɥã⁴²pej⁴²ʦʰɛ²¹	563
321	Hangzhou	cabbage	26	包心菜	pɔ³³ɕin³³ʦʰᴇ⁴⁴⁵	456
322	Guangzhou	cabbage	26	椰菜	jɛ²¹ʦʰɔj³³	1028
323	Nanchang	cabbage	26	包菜	pɑw⁴²ʦʰaj⁰²	456
324	Chengdu	cabbage	26	卷心白	ʨɥan⁵³ɕin⁵⁵pe³¹	337
325	Chengdu	cabbage	26	莲花白	njan³¹xwa⁵⁵pe³¹	313
326	Taiyuan	cabbage	26	茴子白	xwejuei¹¹ʦəʔpaj¹¹	859
327	Shexian	cabbage	26	甘蓝菜	kɛ³¹lɛ⁴⁴ʦʰɛ³²⁴	861
328	Beijing	cabbage	26	洋白菜	jɑŋ³⁵paj³⁵ʦʰaj⁵¹	958
329	Kunming	cabbage	26	莲花白	ljɛ̃³¹xwᴀ⁴⁴pə³¹	313
330	Shanghai	cabbage	26	卷心菜	ʨɥø³⁵ɕiŋ⁵³ʦʰe³⁵	876
# 
331	Meixian	sweet potato	29	番薯	fan⁴⁴su¹¹	393
332	Changsha	sweet potato	29	红薯	xoŋ¹³ɕy¹¹	737
333	Guixian	sweet potato	29	饭薯	fan²¹³su²¹	201
334	Guixian	sweet potato	29	白苕	pɛ²¹sa²¹	106
335	Xiamen	sweet potato	29	番藷	han⁵⁵ʦu³⁵	197
336	Hefei	sweet potato	29	芋头	zy⁵³tʰɯ	821
337	Jinan	sweet potato	29	地瓜	ti²¹kwa²¹³	1126
338	Hangzhou	sweet potato	29	番薯	fᴇ̃³³ʣy¹³	393
339	Guangzhou	sweet potato	29	番薯	fan⁵³sy²¹	393
340	Nanchang	sweet potato	29	萝卜薯	lo⁴⁵pʰo⁰⁴ɕy⁴⁵	938
341	Nanchang	sweet potato	29	红薯	fuŋ⁴⁵ɕy⁴⁵	737
342	Chengdu	sweet potato	29	红苕	xoŋ³¹saw³¹	964
343	Taiyuan	sweet potato	29	红薯	xwəŋ¹¹su⁵³	737
344	Shexian	sweet potato	29	山芋	sa³¹y²²	146
345	Beijing	sweet potato	29	白薯	paj³⁵ʂu²¹⁴	325
346	Kunming	sweet potato	29	白薯	pə³¹t͡ʂʰu⁵³	325
347	Shanghai	sweet potato	29	山芋	se⁵³ɦy¹³	146
# 
348	Meixian	pig	32	猪儿	ʦu⁴⁴ve	1127
349	Changsha	pig	32	猪	ʨy³³	558
350	Guixian	pig	32	猪	ʦu⁵⁵	558
351	Xiamen	pig	32	猪	ti⁵⁵	558
352	Hefei	pig	32	猪	t͡ʂu²¹	558
353	Jinan	pig	32	猪	t͡ʂu²¹³	558
354	Hangzhou	pig	32	猪	ʦy³³	558
355	Hangzhou	pig	32	肉猪	zoʔ²ʦy³³	418
356	Guangzhou	pig	32	猪	ʦy⁵⁵	558
357	Nanchang	pig	32	猪	ʨy⁴²	558
358	Chengdu	pig	32	猪	ʦu⁵⁵	558
359	Taiyuan	pig	32	猪	ʦu¹¹	558
360	Shexian	pig	32	猪	ʨy³¹	558
361	Beijing	pig	32	猪	t͡ʂu⁵⁵	558
362	Kunming	pig	32	猪	t͡ʂu⁴⁴	558
363	Shanghai	pig	32	猪猡	ʦɿ⁵³lu¹³	778
# 
364	Meixian	rooster	35	鸡公	ke⁴⁴kuŋ⁴⁴	412
365	Changsha	rooster	35	叫鸡公	ʨjawiau⁵⁵ʨi³³koŋ³³	412
366	Guixian	rooster	35	公鸡	koŋ⁵⁵ʨi⁵⁵	412
367	Xiamen	rooster	35	鸡角	kwe⁵⁵kak³²	745
368	Hefei	rooster	35	公鸡	kəŋ²¹ʦɿ²¹	412
369	Jinan	rooster	35	公鸡	kuŋ²¹³ʨi	412
370	Hangzhou	rooster	35	雄鸡	ɦjoŋ²¹³ʨi³³	903
371	Hangzhou	rooster	35	童子鸡	doŋ²¹³ʦɿ⁵³ʨi³³	12
372	Guangzhou	rooster	35	鸡公	kɐj⁵⁵koŋ⁵⁵	412
