# JAP
ID	Taxon	Concept	GlossID	IPA	Tokens	CogID
63	Amami	what	7	nuː	n uː	21
64	Kyōto	what	7	nani	n a n i	20
65	Hachijō	what	7	ani	a n i	19
66	Shuri	what	7	nuː	n uː	21
67	Kōchi	what	7	nani	n a n i	20
68	Sado	what	7	nani	n a n i	20
69	Oki	what	7	nani	n a n i	20
70	Kagoshima	what	7	naiː	n aiː	20
# 
71	Miyako	not	8	araŋ	a r a ŋ	23
72	Tōkyō	not	8	nai	n ai	22
73	Amami	not	8	ʔaraɴ	ʔ a r a ɴ	23
74	Kyōto	not	8	nai	n ai	22
75	Hachijō	not	8	nakːja	n a kː j a	22
76	Shuri	not	8	neːɴ	n eː ɴ	22
77	Kōchi	not	8	nai	n ai	22
78	Sado	not	8	nai	n ai	22
79	Oki	not	8	neː	n eː	22
80	Kagoshima	not	8	naka	n a k a	22
# 
81	Miyako	all	9	mːna	mː n a	24
82	Tōkyō	all	9	miɴna	m i ɴ n a	24
83	Amami	all	9	ʔaɴxaːri	ʔ a ɴ x aː r i	26
84	Kyōto	all	9	miɴna	m i ɴ n a	24
85	Hachijō	all	9	miɴna	m i ɴ n a	24
86	Shuri	all	9	ɴna	ɴ n a	24
87	Kōchi	all	9	miɴna	m i ɴ n a	24
88	Sado	all	9	miɴna	m i ɴ n a	24
89	Oki	all	9	ɴːna	ɴː n a	24
90	Kagoshima	all	9	sukːai	s u kː ai	25
# 
91	Miyako	many	10	ukaːʃa	u k aː ʃ a	34
92	Tōkyō	many	10	takusaɴ	t a k u s a ɴ	31
93	Amami	many	10	ɕogoɕaɴ	ɕ o g o ɕ a ɴ	34
94	Kyōto	many	10	joːke	j oː k e	32
95	Hachijō	many	10	sikːari	s i kː a r i	30
96	Shuri	many	10	ʔuhoːku	ʔ u h oː k u	29
97	Kōchi	many	10	joke	j o k e	32
98	Sado	many	10	ikai	i k ai	33
99	Oki	many	10	etːo	e tː o	27
100	Kagoshima	many	10	dosːai	d o sː ai	28
# 
101	Miyako	one	11	pɨtiːsɨ	p ɨ t iː s ɨ	35
102	Tōkyō	one	11	hitoʦu	h i t o ʦ u	35
103	Amami	one	11	tɨːʦɨ	t ɨː ʦ ɨ	35
104	Kyōto	one	11	hitoʦu	h i t o ʦ u	35
105	Hachijō	one	11	teːʦu	t eː ʦ u	35
106	Shuri	one	11	tiːɕi	t iː ɕ i	35
107	Kōchi	one	11	hitotu	h i t o t u	35
108	Sado	one	11	hitoʦu	h i t o ʦ u	35
109	Oki	one	11	ɸutoʦu	ɸ u t o ʦ u	35
110	Kagoshima	one	11	hitoi	h i t oi	35
# 
111	Miyako	two	12	futaːʦɨ	f u t aː ʦ ɨ	36
112	Tōkyō	two	12	hutaʦːu	h u t a ʦː u	36
113	Amami	two	12	taːʦɨ	t aː ʦ ɨ	36
114	Kyōto	two	12	hutaʦu	h u t a ʦ u	36
115	Hachijō	two	12	hutaʦu	h u t a ʦ u	36
116	Shuri	two	12	taːɕi	t aː ɕ i	36
117	Kōchi	two	12	hutaːtu	h u t aː t u	36
118	Sado	two	12	hutaʦu	h u t a ʦ u	36
119	Oki	two	12	ɸutaːʦu	ɸ u t aː ʦ u	36
120	Kagoshima	two	12	hutai	h u t ai	36
# 
121	Miyako	big	13	uku	u k u	38
122	Tōkyō	big	13	oːkiː	oː k iː	38
123	Amami	big	13	hwɨsːari	h w ɨ sː a r i	40
124	Kyōto	big	13	oːkiː	oː k iː	38
125	Hachijō	big	13	boːkʲa	b oː kʲ a	37
126	Shuri	big	13	magisaɴ	m a g i s a ɴ	41
127	Kōchi	big	13	hutoi	h u t oi	39
128	Sado	big	13	oːkiː	oː k iː	38
129	Oki	big	13	ɸuteː	ɸ u t eː	39
130	Kagoshima	big	13	hute	h u t e	39
# 
131	Miyako	small	14	imi	i m i	47
132	Tōkyō	small	14	ʨiʨːai	ʨ i ʨː ai	43
133	Amami	small	14	ʔʲenasari	ʔʲ e n a s a r i	46
134	Kyōto	small	14	ʨiːsai	ʨ iː s ai	43
135	Hachijō	small	14	nekːokʲa	n e kː o kʲ a	42
136	Shuri	small	14	gumasaɴ	g u m a s a ɴ	45
137	Kōchi	small	14	hosoi	h o s oi	44
138	Sado	small	14	ʨiːsai	ʨ iː s ai	43
139	Oki	small	14	komeː	k o m eː	45
140	Kagoshima	small	14	ʨiɴke	ʨ i ɴ k e	43
# 
141	Miyako	long	15	naga	n a g a	48
142	Tōkyō	long	15	naŋai	n a ŋ ai	48
143	Amami	long	15	nagasari	n a g a s a r i	48
144	Kyōto	long	15	naŋai	n a ŋ ai	48
145	Hachijō	long	15	nagakʲa	n a g a kʲ a	48
146	Shuri	long	15	nagasaɴ	n a g a s a ɴ	48
147	Kōchi	long	15	nagai	n a g ai	48
148	Sado	long	15	nagai	n a g ai	48
149	Oki	long	15	naŋeː	n a ŋ eː	48
150	Kagoshima	long	15	nage	n a g e	48
# 
151	Miyako	woman	16	midum	m i d u m	51
152	Tōkyō	woman	16	oɴna	o ɴ n a	49
153	Amami	woman	16	onagu	o n a g u	49
154	Kyōto	woman	16	onaŋo	o n a ŋ o	49
155	Hachijō	woman	16	oɴnago	o ɴ n a g o	49
156	Shuri	woman	16	winagu	w i n a g u	49
157	Kōchi	woman	16	onago	o n a g o	49
158	Sado	woman	16	oɴna	o ɴ n a	49
159	Oki	woman	16	nʲoːba	nʲ oː b a	50
160	Kagoshima	woman	16	onago	o n a g o	49
# 
161	Miyako	man	17	bɨkidum	b ɨ k i d u m	54
162	Tōkyō	man	17	otoko	o t o k o	53
163	Amami	man	17	jeɴga	j e ɴ g a	55
164	Kyōto	man	17	otoko	o t o k o	53
165	Hachijō	man	17	onokogo	o n o k o g o	52
166	Shuri	man	17	wikiga	w i k i g a	54
167	Kōchi	man	17	otoko	o t o k o	53
168	Sado	man	17	otoko	o t o k o	53
169	Oki	man	17	otoko	o t o k o	53
170	Kagoshima	man	17	otoko	o t o k o	53
# 
171	Miyako	person	18	pɨtu	p ɨ t u	56
172	Tōkyō	person	18	hito	h i t o	56
173	Amami	person	18	ʨu	ʨ u	56
174	Kyōto	person	18	hito	h i t o	56
175	Hachijō	person	18	hito	h i t o	56
176	Shuri	person	18	ʦːu	ʦː u	56
177	Kōchi	person	18	hito	h i t o	56
178	Sado	person	18	niɴgeɴ	n i ɴ g e ɴ	57
179	Oki	person	18	ɸuto	ɸ u t o	56
180	Kagoshima	person	18	hiːto	h iː t o	56
# 
181	Miyako	fish	19	izo	i z o	59
182	Tōkyō	fish	19	sakana	s a k a n a	58
183	Amami	fish	19	ʔʲu	ʔʲ u	59
184	Kyōto	fish	19	sakana	s a k a n a	58
185	Hachijō	fish	19	sakana	s a k a n a	58
186	Shuri	fish	19	ʔiju	ʔ i j u	59
187	Kōchi	fish	19	uo	uo	59
188	Sado	fish	19	uo	uo	59
189	Oki	fish	19	eo	eo	59
190	Kagoshima	fish	19	iːo	iːo	59
# 
191	Miyako	bird	20	tui	t ui	60
192	Tōkyō	bird	20	tori	t o r i	60
193	Amami	bird	20	θuri	θ u r i	60
194	Kyōto	bird	20	tori	t o r i	60
195	Hachijō	bird	20	torime	t o r i m e	60
196	Shuri	bird	20	tui	t ui	60
197	Kōchi	bird	20	tori	t o r i	60
198	Sado	bird	20	tori	t o r i	60
199	Oki	bird	20	tori	t o r i	60
200	Kagoshima	bird	20	toiː	t oiː	60
# 
201	Miyako	dog	21	in	i n	62
202	Tōkyō	dog	21	inu	i n u	62
203	Amami	dog	21	ʔiɴ	ʔ i ɴ	62
204	Kyōto	dog	21	inu	i n u	62
205	Hachijō	dog	21	ʨiɴme	ʨ i ɴ m e	61
206	Shuri	dog	21	ʔiɴ	ʔ i ɴ	62
207	Kōchi	dog	21	inu	i n u	62
208	Sado	dog	21	inu	i n u	62
209	Oki	dog	21	eno	e n o	62
210	Kagoshima	dog	21	iɴ	i ɴ	62
# 
211	Miyako	louse	22	sːam	sː a m	63
212	Tōkyō	louse	22	sirami	s i r a m i	63
213	Amami	louse	22	siraɴ	s i r a ɴ	63
214	Kyōto	louse	22	sirami	s i r a m i	63
215	Hachijō	louse	22	ɕaɴme	ɕ a ɴ m e	63
216	Shuri	louse	22	siraɴ	s i r a ɴ	63
217	Kōchi	louse	22	sirami	s i r a m i	63
218	Sado	louse	22	sirami	s i r a m i	63
219	Oki	louse	22	sirame	s i r a m e	63
220	Kagoshima	louse	22	sitame	s i t a m e	63
# 
221	Miyako	tree	23	kiː	k iː	64
222	Tōkyō	tree	23	ki	k i	64
223	Amami	tree	23	xɨ	x ɨ	64
224	Kyōto	tree	23	kiː	k iː	64
225	Hachijō	tree	23	ki	k i	64
226	Shuri	tree	23	kiː	k iː	64
227	Kōchi	tree	23	ki	k i	64
228	Sado	tree	23	ki	k i	64
229	Oki	tree	23	ki	k i	64
230	Kagoshima	tree	23	ki	k i	64
# 
231	Miyako	bark (of tree)	24	kaː	k aː	65
232	Tōkyō	bark (of tree)	24	kawa	k a w a	65
233	Amami	bark (of tree)	24	xɨɴxo	x ɨ ɴ x o	66
234	Kyōto	bark (of tree)	24	kawa	k a w a	65
235	Hachijō	bark (of tree)	24	kua	k ua	65
236	Shuri	bark (of tree)	24	kaː	k aː	65
237	Kōchi	bark (of tree)	24	kawa	k a w a	65
238	Sado	bark (of tree)	24	kawa	k a w a	65
239	Oki	bark (of tree)	24	kawa	k a w a	65
240	Kagoshima	bark (of tree)	24	kawa	k a w a	65
# 
241	Miyako	leaf	25	paː	p aː	67
242	Tōkyō	leaf	25	hapːa	h a pː a	67
243	Amami	leaf	25	hwa	h w a	67
244	Kyōto	leaf	25	haː	h aː	67
245	Hachijō	leaf	25	ha	h a	67
246	Shuri	leaf	25	hwaː	h w aː	67
247	Kōchi	leaf	25	ha	h a	67
248	Sado	leaf	25	ha	h a	67
249	Oki	leaf	25	ɸa	ɸ a	67
250	Kagoshima	leaf	25	hai	h ai	67
# 
251	Miyako	root	26	niː	n iː	68
252	Tōkyō	root	26	nekːo	n e kː o	68
253	Amami	root	26	nɨguri	n ɨ g u r i	68
254	Kyōto	root	26	neː	n eː	68
255	Hachijō	root	26	ne	n e	68
256	Shuri	root	26	niː	n iː	68
257	Kōchi	root	26	ne	n e	68
258	Sado	root	26	ne	n e	68
259	Oki	root	26	ne	n e	68
260	Kagoshima	root	26	ne	n e	68
# 
261	Miyako	seed	27	tani	t a n i	70
262	Tōkyō	seed	27	tane	t a n e	70
263	Amami	seed	27	θanɨ	θ a n ɨ	70
264	Kyōto	seed	27	tane	t a n e	70
265	Hachijō	seed	27	tane	t a n e	70
266	Shuri	seed	27	sani	s a n i	69
267	Kōchi	seed	27	tane	t a n e	70
268	Sado	seed	27	tane	t a n e	70
269	Oki	seed	27	tane	t a n e	70
270	Kagoshima	seed	27	tane	t a n e	70
# 
271	Miyako	blood	28	akaʦɨ	a k a ʦ ɨ	71
272	Tōkyō	blood	28	ʨi	ʨ i	71
273	Amami	blood	28	ʨi	ʨ i	71
274	Kyōto	blood	28	ʨiː	ʨ iː	71
275	Hachijō	blood	28	ʨi	ʨ i	71
276	Shuri	blood	28	ʨiː	ʨ iː	71
277	Kōchi	blood	28	ti	t i	71
278	Sado	blood	28	ʨi	ʨ i	71
279	Oki	blood	28	ʨi	ʨ i	71
280	Kagoshima	blood	28	ʨiː	ʨ iː	71
# 
281	Miyako	meat	29	sɨːsɨ	s ɨː s ɨ	73
282	Tōkyō	meat	29	niku	n i k u	72
283	Amami	meat	29	sisi	s i s i	73
284	Kyōto	meat	29	niku	n i k u	72
285	Hachijō	meat	29	niku	n i k u	72
286	Shuri	meat	29	sisi	s i s i	73
287	Kōchi	meat	29	niku	n i k u	72
288	Sado	meat	29	niku	n i k u	72
289	Oki	meat	29	niku	n i k u	72
290	Kagoshima	meat	29	ni	n i	72
# 
291	Miyako	skin	30	kaː	k aː	75
292	Tōkyō	skin	30	kawa	k a w a	75
293	Amami	skin	30	duɴxo	d u ɴ x o	74
294	Kyōto	skin	30	kawa	k a w a	75
295	Hachijō	skin	30	kuabe	k ua b e	75
296	Shuri	skin	30	kaː	k aː	75
297	Kōchi	skin	30	kawa	k a w a	75
298	Sado	skin	30	kawa	k a w a	75
299	Oki	skin	30	kawa	k a w a	75
300	Kagoshima	skin	30	kawa	k a w a	75
# 
301	Miyako	bone	31	puni	p u n i	76
302	Tōkyō	bone	31	hone	h o n e	76
303	Amami	bone	31	hunɨ	h u n ɨ	76
304	Kyōto	bone	31	hone	h o n e	76
305	Hachijō	bone	31	hone	h o n e	76
306	Shuri	bone	31	huni	h u n i	76
307	Kōchi	bone	31	hone	h o n e	76
308	Sado	bone	31	hone	h o n e	76
309	Oki	bone	31	ɸone	ɸ o n e	76
310	Kagoshima	bone	31	hone	h o n e	76
# 
311	Miyako	grease (fat)	32	avːa	a vː a	78
312	Tōkyō	grease (fat)	32	aburami	a b u r a m i	78
313	Amami	grease (fat)	32	sirumi	s i r u m i	79
314	Kyōto	grease (fat)	32	abura	a b u r a	78
315	Hachijō	grease (fat)	32	aburaniku	a b u r a n i k u	78
316	Shuri	grease (fat)	32	ʔaɴdaʥisi	ʔ a ɴ d a ʥ i s i	77
317	Kōchi	grease (fat)	32	abura	a b u r a	78
318	Sado	grease (fat)	32	aburaniku	a b u r a n i k u	78
319	Oki	grease (fat)	32	abura	a b u r a	78
320	Kagoshima	grease (fat)	32	aburami	a b u r a m i	78
# 
321	Miyako	egg	33	tunuka	t u n u k a	82
322	Tōkyō	egg	33	tamaŋo	t a m a ŋ o	80
323	Amami	egg	33	xoga	x o g a	81
324	Kyōto	egg	33	tamaŋo	t a m a ŋ o	80
325	Hachijō	egg	33	tamago	t a m a g o	80
326	Shuri	egg	33	kuːga	k uː g a	81
327	Kōchi	egg	33	tamago	t a m a g o	80
328	Sado	egg	33	tamago	t a m a g o	80
329	Oki	egg	33	tamaŋo	t a m a ŋ o	80
330	Kagoshima	egg	33	tamago	t a m a g o	80
# 
331	Miyako	horn	34	ʦɨnu	ʦ ɨ n u	83
332	Tōkyō	horn	34	ʦuno	ʦ u n o	83
333	Amami	horn	34	ʦɨno	ʦ ɨ n o	83
334	Kyōto	horn	34	ʦuno	ʦ u n o	83
335	Hachijō	horn	34	ʦuno	ʦ u n o	83
336	Shuri	horn	34	ɕinu	ɕ i n u	83
337	Kōchi	horn	34	tuno	t u n o	83
338	Sado	horn	34	ʦuno	ʦ u n o	83
339	Oki	horn	34	ʦuno	ʦ u n o	83
340	Kagoshima	horn	34	ʦuno	ʦ u n o	83
# 
341	Miyako	tail	35	ʣuː	ʣ uː	85
342	Tōkyō	tail	35	sipːo	s i pː o	86
343	Amami	tail	35	zubu	z u b u	85
344	Kyōto	tail	35	oː	oː	84
345	Hachijō	tail	35	oba	o b a	84
346	Shuri	tail	35	zuː	z uː	85
347	Kōchi	tail	35	o	o	84
348	Sado	tail	35	o	o	84
349	Oki	tail	35	o	o	84
350	Kagoshima	tail	35	siːbo	s iː b o	86
# 
351	Miyako	feather	36	pani	p a n i	87
352	Tōkyō	feather	36	hane	h a n e	87
353	Amami	feather	36	haɴge	h a ɴ g e	87
354	Kyōto	feather	36	hane	h a n e	87
355	Hachijō	feather	36	hane	h a n e	87
356	Shuri	feather	36	hanigiː	h a n i g iː	87
357	Kōchi	feather	36	hane	h a n e	87
358	Sado	feather	36	hane	h a n e	87
359	Oki	feather	36	hane	h a n e	87
360	Kagoshima	feather	36	haine	h ai n e	87
# 
361	Miyako	hair	37	p͡sɨgi	p͡s ɨ g i	88
362	Tōkyō	hair	37	ke	k e	89
363	Amami	hair	37	higi	h i g i	88
364	Kyōto	hair	37	keː	k eː	89
365	Hachijō	hair	37	kiː	k iː	89
366	Shuri	hair	37	kiː	k iː	89
367	Kōchi	hair	37	ke	k e	89
368	Sado	hair	37	ke	k e	89
369	Oki	hair	37	ke	k e	89
370	Kagoshima	hair	37	kei	k ei	89
371	Hachijō	hair	37	kebuɕo	k e b u ɕ o	89
# 
372	Miyako	head	38	kanamaɭ	k a n a m a ɭ	94
373	Tōkyō	head	38	atama	a t a m a	91
374	Amami	head	38	xamaʨi	x a m a ʨ i	93
375	Kyōto	head	38	atama	a t a m a	91
376	Hachijō	head	38	ʦuburi	ʦ u b u r i	90
377	Shuri	head	38	ɕiburu	ɕ i b u r u	90
378	Kōchi	head	38	atama	a t a m a	91
379	Sado	head	38	atama	a t a m a	91
380	Oki	head	38	atama	a t a m a	91
381	Kagoshima	head	38	biɴta	b i ɴ t a	92
# 
382	Miyako	ear	39	mim	m i m	95
383	Tōkyō	ear	39	mimi	m i m i	95
384	Amami	ear	39	miɴ	m i ɴ	95
385	Kyōto	ear	39	mimi	m i m i	95
386	Hachijō	ear	39	mimi	m i m i	95
387	Shuri	ear	39	mimi	m i m i	95
388	Kōchi	ear	39	mimi	m i m i	95
389	Sado	ear	39	mimi	m i m i	95
390	Oki	ear	39	mimi	m i m i	95
391	Kagoshima	ear	39	miɴ	m i ɴ	95
# 
392	Miyako	eye	40	miː	m iː	96
393	Tōkyō	eye	40	me	m e	96
394	Amami	eye	40	mɨː	m ɨː	96
395	Kyōto	eye	40	meː	m eː	96
396	Hachijō	eye	40	manako	m a n a k o	97
397	Shuri	eye	40	miː	m iː	96
398	Kōchi	eye	40	me	m e	96
399	Sado	eye	40	me	m e	96
400	Oki	eye	40	me	m e	96
401	Kagoshima	eye	40	me	m e	96
# 
402	Miyako	nose	41	pana	p a n a	98
403	Tōkyō	nose	41	hana	h a n a	98
404	Amami	nose	41	hana	h a n a	98
405	Kyōto	nose	41	hana	h a n a	98
406	Hachijō	nose	41	hana	h a n a	98
407	Shuri	nose	41	hana	h a n a	98
408	Kōchi	nose	41	hana	h a n a	98
409	Sado	nose	41	hana	h a n a	98
410	Oki	nose	41	hana	h a n a	98
411	Kagoshima	nose	41	haina	h ai n a	98
# 
412	Miyako	mouth	42	fuʦɨ	f u ʦ ɨ	99
413	Tōkyō	mouth	42	kuʨi	k u ʨ i	99
414	Amami	mouth	42	kuʨi	k u ʨ i	99
415	Kyōto	mouth	42	kuʨi	k u ʨ i	99
416	Hachijō	mouth	42	kuʨi	k u ʨ i	99
417	Shuri	mouth	42	kuʨi	k u ʨ i	99
418	Kōchi	mouth	42	kuti	k u t i	99
419	Sado	mouth	42	kuʨi	k u ʨ i	99
420	Oki	mouth	42	kuʨi	k u ʨ i	99
421	Kagoshima	mouth	42	kui	k ui	99
# 
422	Miyako	tooth	43	paː	p aː	101
423	Tōkyō	tooth	43	ha	h a	101
424	Amami	tooth	43	hwa	h w a	101
425	Kyōto	tooth	43	haː	h aː	101
426	Hachijō	tooth	43	nukaba	n u k a b a	100
427	Shuri	tooth	43	haː	h aː	101
428	Kōchi	tooth	43	ha	h a	101
429	Sado	tooth	43	ha	h a	101
430	Oki	tooth	43	ɸa	ɸ a	101
431	Kagoshima	tooth	43	ha	h a	101
# 
432	Miyako	tongue	44	sɨta	s ɨ t a	-102
433	Tōkyō	tongue	44	sita	s i t a	-102
434	Amami	tongue	44	sɨba	s ɨ b a	-102
435	Kyōto	tongue	44	sita	s i t a	-102
436	Hachijō	tongue	44	sita	s i t a	-102
437	Shuri	tongue	44	ʃiba	ʃ i b a	-102
438	Kōchi	tongue	44	sita	s i t a	-102
439	Sado	tongue	44	sitabera	s i t a b e r a	-102
440	Oki	tongue	44	bero	b e r o	-102
441	Kagoshima	tongue	44	sita	s i t a	-102
# 
442	Miyako	claw	45	ʦɨmi	ʦ ɨ m i	103
443	Tōkyō	claw	45	ʦume	ʦ u m e	103
444	Amami	claw	45	ʦɨmɨ	ʦ ɨ m ɨ	103
445	Kyōto	claw	45	ʦume	ʦ u m e	103
446	Hachijō	claw	45	ʦume	ʦ u m e	103
447	Shuri	claw	45	ɕimi	ɕ i m i	103
448	Kōchi	claw	45	tume	t u m e	103
449	Sado	claw	45	ʦume	ʦ u m e	103
450	Oki	claw	45	ʦume	ʦ u m e	103
451	Kagoshima	claw	45	ʦuime	ʦ ui m e	103
# 
452	Miyako	foot	46	pɨsa	p ɨ s a	106
453	Tōkyō	foot	46	asi	a s i	104
454	Amami	foot	46	hagi	h a g i	105
455	Kyōto	foot	46	asi	a s i	104
456	Hachijō	foot	46	asi	a s i	104
457	Shuri	foot	46	hwiɕa	h w i ɕ a	106
458	Kōchi	foot	46	asi	a s i	104
459	Sado	foot	46	asi	a s i	104
460	Oki	foot	46	asi	a s i	104
461	Kagoshima	foot	46	aɕ	a ɕ	104
# 
462	Miyako	knee	47	ʦɨgusɨ	ʦ ɨ g u s ɨ	109
463	Tōkyō	knee	47	hiza	h i z a	107
464	Amami	knee	47	ʦɨbusi	ʦ ɨ b u s i	109
465	Kyōto	knee	47	hiza	h i z a	107
466	Hachijō	knee	47	hiʥakabura	h i ʥ a k a b u r a	107
467	Shuri	knee	47	ʨiɴsi	ʨ i ɴ s i	109
468	Kōchi	knee	47	sune	s u n e	108
469	Sado	knee	47	hiza	h i z a	107
470	Oki	knee	47	ɸuza	ɸ u z a	-107
471	Kagoshima	knee	47	hiːza	h iː z a	-107
# 
472	Miyako	hand	48	tiː	t iː	110
473	Tōkyō	hand	48	te	t e	110
474	Amami	hand	48	θɨ	θ ɨ	110
475	Kyōto	hand	48	teː	t eː	110
476	Hachijō	hand	48	te	t e	110
477	Shuri	hand	48	tiː	t iː	110
478	Kōchi	hand	48	te	t e	110
479	Sado	hand	48	te	t e	110
480	Oki	hand	48	te	t e	110
481	Kagoshima	hand	48	te	t e	110
# 
482	Miyako	belly	49	bata	b a t a	113
483	Tōkyō	belly	49	onaka	o n a k a	112
484	Amami	belly	49	waθa	w a θ a	113
485	Kyōto	belly	49	hara	h a r a	111
486	Hachijō	belly	49	hara	h a r a	111
487	Shuri	belly	49	wata	w a t a	113
488	Kōchi	belly	49	hara	h a r a	111
489	Sado	belly	49	hara	h a r a	111
490	Oki	belly	49	ɸara	ɸ a r a	111
491	Kagoshima	belly	49	hara	h a r a	111
# 
492	Miyako	neck	50	nudufuʣɨ	n u d u f u ʣ ɨ	115
493	Tōkyō	neck	50	kubi	k u b i	114
494	Amami	neck	50	kubi	k u b i	114
495	Kyōto	neck	50	kubi	k u b i	114
496	Hachijō	neck	50	kubi	k u b i	114
497	Shuri	neck	50	kubi	k u b i	114
498	Kōchi	neck	50	kubi	k u b i	114
499	Sado	neck	50	kubi	k u b i	114
500	Oki	neck	50	kubi	k u b i	114
501	Kagoshima	neck	50	kui	k ui	114
# 
502	Miyako	breast	51	mːifuʦɨ	mː i f u ʦ ɨ	116
503	Tōkyō	breast	51	mune	m u n e	116
504	Amami	breast	51	munɨ	m u n ɨ	116
505	Kyōto	breast	51	mune	m u n e	116
506	Hachijō	breast	51	mune	m u n e	116
507	Shuri	breast	51	ɴni	ɴ n i	116
508	Kōchi	breast	51	mune	m u n e	116
509	Sado	breast	51	mune	m u n e	116
510	Oki	breast	51	ɴne	ɴ n e	116
511	Kagoshima	breast	51	muine	m ui n e	116
# 
512	Tōkyō	heart	52	siɴzoː	s i ɴ z oː	118
513	Amami	heart	52	siɴdo	s i ɴ d o	118
514	Kyōto	heart	52	siɴzoː	s i ɴ z oː	118
515	Hachijō	heart	52	siɴzoː	s i ɴ z oː	118
516	Shuri	heart	52	ʨimu	ʨ i m u	117
517	Kōchi	heart	52	kimo	k i m o	117
518	Sado	heart	52	siɴzoː	s i ɴ z oː	118
519	Oki	heart	52	siɴzoː	s i ɴ z oː	118
520	Kagoshima	heart	52	siɴizoː	s i ɴ i z oː	118
# 
521	Miyako	liver	53	ʦɨmu	ʦ ɨ m u	119
522	Tōkyō	liver	53	kimo	k i m o	119
523	Amami	liver	53	kimo	k i m o	119
524	Kyōto	liver	53	kimo	k i m o	119
525	Hachijō	liver	53	kimo	k i m o	119
526	Shuri	liver	53	ʨimu	ʨ i m u	119
527	Kōchi	liver	53	kimo	k i m o	119
528	Sado	liver	53	kimo	k i m o	119
529	Kagoshima	liver	53	kimo	k i m o	119
# 
530	Miyako	drink	54	num	n u m	120
531	Tōkyō	drink	54	nomu	n o m u	120
532	Amami	drink	54	numuri	n u m u r i	120
533	Kyōto	drink	54	nomu	n o m u	120
534	Hachijō	drink	54	nomu	n o m u	120
535	Shuri	drink	54	nunuɴ	n u n u ɴ	120
536	Kōchi	drink	54	nomu	n o m u	120
537	Sado	drink	54	nomu	n o m u	120
538	Oki	drink	54	nomu	n o m u	120
539	Kagoshima	drink	54	noɴ	n o ɴ	120
# 
540	Miyako	eat	55	fau	f au	125
541	Tōkyō	eat	55	taberu	t a b e r u	122
542	Amami	eat	55	xamuri	x a m u r i	124
543	Kyōto	eat	55	taberu	t a b e r u	122
544	Hachijō	eat	55	miaru	m ia r u	121
545	Shuri	eat	55	kanuɴ	k a n u ɴ	124
